(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(60, 1, 2, 0, 0.5, 2.5, 3): Return: 0.11%, Hit Ratio: 45.98%, Max Drawdown: 0.04%
(60, 1, 2, 0.5, 0.5, 2.5, 2.5): Return: 0.11%, Hit Ratio: 47.25%, Max Drawdown: 0.05%
(60, 1, 2, 0.5, 0.5, 2.5, 3.5): Return: 0.11%, Hit Ratio: 48.35%, Max Drawdown: 0.05%
(60, 1, 2, 0.5, 0.5, 3, 3): Return: 0.11%, Hit Ratio: 47.31%, Max Drawdown: 0.05%
(60, 1, 2, 0.5, 0.5, 3.5, 3): Return: 0.11%, Hit Ratio: 48.39%, Max Drawdown: 0.04%
(60, 1, 2, 0.5, 0.5, 3.5, 3.5): Return: 0.11%, Hit Ratio: 48.39%, Max Drawdown: 0.04%
(100, 1, 1.5, -0.5, -0.5, 3, 2.5): Return: 0.11%, Hit Ratio: 58.67%, Max Drawdown: 0.03%
(100, 1, 1.5, -0.5, -0.5, 3, 3): Return: 0.11%, Hit Ratio: 58.9%, Max Drawdown: 0.03%
(100, 1, 1.5, -0.5, -0.5, 3, 3.5): Return: 0.11%, Hit Ratio: 58.9%, Max Drawdown: 0.03%
(100, 1, 1.5, -0.5, -0.5, 3.5, 2.5): Return: 0.11%, Hit Ratio: 57.89%, Max Drawdown: 0.03%
(100, 1, 1.5, -0.5, -0.5, 3.5, 3): Return: 0.11%, Hit Ratio: 58.11%, Max Drawdown: 0.03%
(100, 1, 1.5, -0.5, -0.5, 3.5, 3.5): Return: 0.11%, Hit Ratio: 58.11%, Max Drawdown: 0.03%
(100, 1, 2, -0.5, -0.5, 2.5, 2.5): Return: 0.11%, Hit Ratio: 56.76%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, 0, 2.5, 2.5): Return: 0.11%, Hit Ratio: 56.41%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, 0, 2.5, 3): Return: 0.11%, Hit Ratio: 55.84%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, 0, 2.5, 3.5): Return: 0.11%, Hit Ratio: 55.84%, Max Drawdown: 0.02%
(100, 1, 2, 0, -0.5, 3, 2.5): Return: 0.11%, Hit Ratio: 55.13%, Max Drawdown: 0.03%
(100, 1, 2, 0, -0.5, 3, 3): Return: 0.11%, Hit Ratio: 55.26%, Max Drawdown: 0.03%
(100, 1, 2, 0, -0.5, 3, 3.5): Return: 0.11%, Hit Ratio: 55.26%, Max Drawdown: 0.03%
(100, 1, 2, 0, -0.5, 3.5, 2.5): Return: 0.11%, Hit Ratio: 54.43%, Max Drawdown: 0.03%
(100, 1, 2, 0, -0.5, 3.5, 3): Return: 0.11%, Hit Ratio: 54.55%, Max Drawdown: 0.03%
(100, 1, 2, 0, -0.5, 3.5, 3.5): Return: 0.11%, Hit Ratio: 54.55%, Max Drawdown: 0.03%
(100, 1, 2, 0.5, -0.5, 3, 2.5): Return: 0.11%, Hit Ratio: 56.18%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, -0.5, 3, 3): Return: 0.11%, Hit Ratio: 55.06%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, -0.5, 3, 3.5): Return: 0.11%, Hit Ratio: 55.06%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, -0.5, 3.5, 2.5): Return: 0.11%, Hit Ratio: 55.56%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, -0.5, 3.5, 3): Return: 0.11%, Hit Ratio: 54.44%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, -0.5, 3.5, 3.5): Return: 0.11%, Hit Ratio: 54.44%, Max Drawdown: 0.04%
(100, 1.5, 2, -0.5, 0.5, 2.5, 2.5): Return: 0.11%, Hit Ratio: 60.98%, Max Drawdown: 0.01%
(100, 1.5, 2, -0.5, 0.5, 2.5, 3): Return: 0.11%, Hit Ratio: 59.52%, Max Drawdown: 0.01%
(100, 1.5, 2, -0.5, 0.5, 2.5, 3.5): Return: 0.11%, Hit Ratio: 59.52%, Max Drawdown: 0.01%
(100, 1.5, 2, 0, 0, 3, 2.5): Return: 0.11%, Hit Ratio: 61.54%, Max Drawdown: 0.03%
(100, 1.5, 2, 0, 0, 3, 3): Return: 0.11%, Hit Ratio: 61.54%, Max Drawdown: 0.03%
(100, 1.5, 2, 0, 0, 3, 3.5): Return: 0.11%, Hit Ratio: 61.54%, Max Drawdown: 0.03%
(100, 1.5, 2, 0, 0, 3.5, 2.5): Return: 0.11%, Hit Ratio: 60.0%, Max Drawdown: 0.03%
(100, 1.5, 2, 0, 0, 3.5, 3): Return: 0.11%, Hit Ratio: 60.0%, Max Drawdown: 0.03%
(100, 1.5, 2, 0, 0, 3.5, 3.5): Return: 0.11%, Hit Ratio: 60.0%, Max Drawdown: 0.03%
(100, 1.5, 2, 0, 0.5, 2.5, 3): Return: 0.11%, Hit Ratio: 57.14%, Max Drawdown: 0.02%
(100, 1.5, 2, 0, 0.5, 2.5, 3.5): Return: 0.11%, Hit Ratio: 57.14%, Max Drawdown: 0.02%
(100, 1.5, 2, 0.5, -0.5, 2.5, 2.5): Return: 0.11%, Hit Ratio: 62.5%, Max Drawdown: 0.03%
(100, 1.5, 2, 0.5, -0.5, 2.5, 3): Return: 0.11%, Hit Ratio: 63.41%, Max Drawdown: 0.03%
(100, 1.5, 2, 0.5, -0.5, 2.5, 3.5): Return: 0.11%, Hit Ratio: 63.41%, Max Drawdown: 0.03%
(100, 1.5, 2, 0.5, 0.5, 2.5, 2.5): Return: 0.11%, Hit Ratio: 60.98%, Max Drawdown: 0.02%
(100, 1.5, 2, 0.5, 0.5, 2.5, 3): Return: 0.11%, Hit Ratio: 59.52%, Max Drawdown: 0.02%
(100, 1.5, 2, 0.5, 0.5, 2.5, 3.5): Return: 0.11%, Hit Ratio: 59.52%, Max Drawdown: 0.02%
(60, 1, 2, -0.5, -0.5, 2.5, 2.5): Return: 0.1%, Hit Ratio: 56.34%, Max Drawdown: 0.03%
(60, 1, 2, -0.5, -0.5, 2.5, 3.5): Return: 0.1%, Hit Ratio: 57.14%, Max Drawdown: 0.03%
(60, 1, 2, -0.5, -0.5, 3, 3): Return: 0.1%, Hit Ratio: 54.79%, Max Drawdown: 0.03%
(60, 1, 2, -0.5, -0.5, 3.5, 2.5): Return: 0.1%, Hit Ratio: 55.56%, Max Drawdown: 0.03%
(60, 1, 2, -0.5, -0.5, 3.5, 3.5): Return: 0.1%, Hit Ratio: 59.15%, Max Drawdown: 0.03%
(60, 1, 2, -0.5, 0, 2.5, 2.5): Return: 0.1%, Hit Ratio: 55.26%, Max Drawdown: 0.03%
(60, 1, 2, -0.5, 0, 2.5, 3.5): Return: 0.1%, Hit Ratio: 56.0%, Max Drawdown: 0.03%
(60, 1, 2, -0.5, 0, 3, 3): Return: 0.1%, Hit Ratio: 53.85%, Max Drawdown: 0.03%
(60, 1, 2, -0.5, 0, 3.5, 2.5): Return: 0.1%, Hit Ratio: 54.55%, Max Drawdown: 0.03%
(60, 1, 2, -0.5, 0, 3.5, 3.5): Return: 0.1%, Hit Ratio: 57.89%, Max Drawdown: 0.03%
(60, 1, 2, -0.5, 0.5, 2.5, 2.5): Return: 0.1%, Hit Ratio: 48.24%, Max Drawdown: 0.03%
(60, 1, 2, -0.5, 0.5, 3, 3.5): Return: 0.1%, Hit Ratio: 48.86%, Max Drawdown: 0.03%
(60, 1, 2, -0.5, 0.5, 3.5, 3.5): Return: 0.1%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(60, 1, 2, 0, -0.5, 2.5, 2.5): Return: 0.1%, Hit Ratio: 46.84%, Max Drawdown: 0.03%
(60, 1, 2, 0, -0.5, 2.5, 3): Return: 0.1%, Hit Ratio: 48.1%, Max Drawdown: 0.03%
(60, 1, 2, 0, -0.5, 2.5, 3.5): Return: 0.1%, Hit Ratio: 48.72%, Max Drawdown: 0.03%
(60, 1, 2, 0, -0.5, 3, 3): Return: 0.1%, Hit Ratio: 46.91%, Max Drawdown: 0.03%
(60, 1, 2, 0, -0.5, 3.5, 2.5): Return: 0.1%, Hit Ratio: 47.5%, Max Drawdown: 0.03%
(60, 1, 2, 0, -0.5, 3.5, 3.5): Return: 0.1%, Hit Ratio: 50.63%, Max Drawdown: 0.03%
(60, 1, 2, 0, 0, 2.5, 2.5): Return: 0.1%, Hit Ratio: 46.91%, Max Drawdown: 0.03%
(60, 1, 2, 0, 0, 2.5, 3.5): Return: 0.1%, Hit Ratio: 48.75%, Max Drawdown: 0.03%
(60, 1, 2, 0, 0, 3, 3): Return: 0.1%, Hit Ratio: 46.99%, Max Drawdown: 0.03%
(60, 1, 2, 0, 0, 3.5, 2.5): Return: 0.1%, Hit Ratio: 47.56%, Max Drawdown: 0.03%
(60, 1, 2, 0, 0, 3.5, 3.5): Return: 0.1%, Hit Ratio: 50.62%, Max Drawdown: 0.03%
(60, 1, 2, 0, 0.5, 2.5, 2.5): Return: 0.1%, Hit Ratio: 44.83%, Max Drawdown: 0.04%
(60, 1, 2, 0, 0.5, 2.5, 3.5): Return: 0.1%, Hit Ratio: 45.98%, Max Drawdown: 0.04%
(60, 1, 2, 0, 0.5, 3, 3): Return: 0.1%, Hit Ratio: 44.94%, Max Drawdown: 0.04%
(60, 1, 2, 0, 0.5, 3, 3.5): Return: 0.1%, Hit Ratio: 44.94%, Max Drawdown: 0.04%
(60, 1, 2, 0, 0.5, 3.5, 3): Return: 0.1%, Hit Ratio: 46.07%, Max Drawdown: 0.04%
(60, 1, 2, 0, 0.5, 3.5, 3.5): Return: 0.1%, Hit Ratio: 46.07%, Max Drawdown: 0.04%
(60, 1, 2, 0.5, -0.5, 3.5, 3): Return: 0.1%, Hit Ratio: 47.73%, Max Drawdown: 0.04%
(60, 1, 2, 0.5, 0, 2.5, 3): Return: 0.1%, Hit Ratio: 45.45%, Max Drawdown: 0.04%
(60, 1, 2, 0.5, 0, 3.5, 3): Return: 0.1%, Hit Ratio: 47.19%, Max Drawdown: 0.04%
(60, 1, 2, 0.5, 0.5, 3, 2.5): Return: 0.1%, Hit Ratio: 46.24%, Max Drawdown: 0.05%
(60, 1, 2, 0.5, 0.5, 3, 3.5): Return: 0.1%, Hit Ratio: 47.31%, Max Drawdown: 0.05%
(60, 1, 2, 0.5, 0.5, 3.5, 2.5): Return: 0.1%, Hit Ratio: 47.31%, Max Drawdown: 0.05%
(100, 1, 1.5, -0.5, -0.5, 2.5, 2.5): Return: 0.1%, Hit Ratio: 55.13%, Max Drawdown: 0.03%
(100, 1, 1.5, -0.5, -0.5, 2.5, 3): Return: 0.1%, Hit Ratio: 55.26%, Max Drawdown: 0.03%
(100, 1, 1.5, -0.5, -0.5, 2.5, 3.5): Return: 0.1%, Hit Ratio: 55.26%, Max Drawdown: 0.03%
(100, 1, 1.5, 0, -0.5, 3, 3): Return: 0.1%, Hit Ratio: 52.5%, Max Drawdown: 0.04%
(100, 1, 1.5, 0, -0.5, 3, 3.5): Return: 0.1%, Hit Ratio: 52.5%, Max Drawdown: 0.04%
(100, 1, 1.5, 0, 0, 3, 2.5): Return: 0.1%, Hit Ratio: 53.49%, Max Drawdown: 0.05%
