(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(100, 2, 1.5, -0.5, 0, 3.5, 3): Return: 0.04%, Hit Ratio: 62.79%, Max Drawdown: 0.01%
(30, 1.5, 1, 0, -0.5, 3, 2.5): Return: 0.03%, Hit Ratio: 56.7%, Max Drawdown: 0.03%
(30, 1.5, 1, 0, -0.5, 3, 3): Return: 0.03%, Hit Ratio: 55.67%, Max Drawdown: 0.03%
(30, 1.5, 1, 0, -0.5, 3, 3.5): Return: 0.03%, Hit Ratio: 55.67%, Max Drawdown: 0.03%
(30, 2, 1, -0.5, -0.5, 3, 2.5): Return: 0.03%, Hit Ratio: 64.91%, Max Drawdown: 0.03%
(30, 2, 1, -0.5, -0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 67.21%, Max Drawdown: 0.04%
(30, 2, 1, -0.5, -0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 65.57%, Max Drawdown: 0.04%
(30, 2, 1, -0.5, -0.5, 3.5, 3.5): Return: 0.03%, Hit Ratio: 65.57%, Max Drawdown: 0.04%
(60, 1, 1, 0, -0.5, 3, 2.5): Return: 0.03%, Hit Ratio: 52.74%, Max Drawdown: 0.02%
(60, 1, 1, 0, -0.5, 3, 3): Return: 0.03%, Hit Ratio: 53.1%, Max Drawdown: 0.02%
(60, 1, 1, 0, -0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 53.69%, Max Drawdown: 0.02%
(60, 1, 1, 0, -0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 54.05%, Max Drawdown: 0.02%
(60, 1, 1, 0, -0.5, 3.5, 3.5): Return: 0.03%, Hit Ratio: 54.05%, Max Drawdown: 0.02%
(60, 1.5, 1, 0, -0.5, 3, 2.5): Return: 0.03%, Hit Ratio: 54.44%, Max Drawdown: 0.02%
(60, 1.5, 1, 0, -0.5, 3, 3): Return: 0.03%, Hit Ratio: 54.44%, Max Drawdown: 0.02%
(60, 1.5, 1, 0, -0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 55.91%, Max Drawdown: 0.02%
(60, 1.5, 1, 0, -0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 55.91%, Max Drawdown: 0.02%
(100, 1, 1, -0.5, 0, 3.5, 3.5): Return: 0.03%, Hit Ratio: 52.11%, Max Drawdown: 0.05%
(100, 1, 1, -0.5, 0.5, 3.5, 3.5): Return: 0.03%, Hit Ratio: 53.25%, Max Drawdown: 0.06%
(100, 1, 1, 0.5, 0, 3.5, 2.5): Return: 0.03%, Hit Ratio: 49.68%, Max Drawdown: 0.03%
(100, 1, 1, 0.5, 0, 3.5, 3): Return: 0.03%, Hit Ratio: 49.68%, Max Drawdown: 0.03%
(100, 1, 1.5, -0.5, 0, 3.5, 3.5): Return: 0.03%, Hit Ratio: 50.75%, Max Drawdown: 0.06%
(100, 1, 1.5, -0.5, 0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 51.77%, Max Drawdown: 0.06%
(100, 1, 1.5, -0.5, 0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 51.77%, Max Drawdown: 0.06%
(100, 1, 1.5, 0.5, -0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 48.98%, Max Drawdown: 0.03%
(100, 1, 1.5, 0.5, -0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 48.98%, Max Drawdown: 0.03%
(100, 1, 2, -0.5, -0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 52.54%, Max Drawdown: 0.03%
(100, 1, 2, -0.5, -0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 52.54%, Max Drawdown: 0.03%
(100, 1, 2, 0.5, 0, 3.5, 2.5): Return: 0.03%, Hit Ratio: 48.28%, Max Drawdown: 0.03%
(100, 1, 2, 0.5, 0, 3.5, 3): Return: 0.03%, Hit Ratio: 48.28%, Max Drawdown: 0.03%
(100, 1, 2, 0.5, 0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 50.68%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, 0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 50.68%, Max Drawdown: 0.04%
(100, 1.5, 1, 0.5, 0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 53.92%, Max Drawdown: 0.01%
(100, 1.5, 1, 0.5, 0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 53.92%, Max Drawdown: 0.01%
(100, 1.5, 1.5, -0.5, -0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 58.97%, Max Drawdown: 0.02%
(100, 1.5, 1.5, -0.5, -0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 58.97%, Max Drawdown: 0.02%
(100, 1.5, 1.5, -0.5, 0, 3.5, 2.5): Return: 0.03%, Hit Ratio: 56.47%, Max Drawdown: 0.02%
(100, 1.5, 1.5, -0.5, 0, 3.5, 3): Return: 0.03%, Hit Ratio: 56.47%, Max Drawdown: 0.02%
(100, 1.5, 1.5, 0, -0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 58.14%, Max Drawdown: 0.01%
(100, 1.5, 1.5, 0, -0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 58.14%, Max Drawdown: 0.01%
(100, 1.5, 1.5, 0, 0, 3.5, 2.5): Return: 0.03%, Hit Ratio: 56.32%, Max Drawdown: 0.01%
(100, 1.5, 1.5, 0, 0, 3.5, 3): Return: 0.03%, Hit Ratio: 56.32%, Max Drawdown: 0.01%
(100, 1.5, 1.5, 0, 0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 55.06%, Max Drawdown: 0.01%
(100, 1.5, 1.5, 0, 0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 55.06%, Max Drawdown: 0.01%
(100, 1.5, 1.5, 0.5, 0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 53.33%, Max Drawdown: 0.01%
(100, 1.5, 1.5, 0.5, 0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 53.33%, Max Drawdown: 0.01%
(100, 1.5, 2, 0, -0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 57.14%, Max Drawdown: 0.01%
(100, 1.5, 2, 0, -0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 57.14%, Max Drawdown: 0.01%
(100, 1.5, 2, 0, 0, 3.5, 2.5): Return: 0.03%, Hit Ratio: 55.29%, Max Drawdown: 0.01%
(100, 1.5, 2, 0, 0, 3.5, 3): Return: 0.03%, Hit Ratio: 55.29%, Max Drawdown: 0.01%
(100, 1.5, 2, 0.5, 0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 52.27%, Max Drawdown: 0.01%
(100, 1.5, 2, 0.5, 0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 52.27%, Max Drawdown: 0.01%
(100, 2, 1.5, -0.5, 0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 53.49%, Max Drawdown: 0.01%
(100, 2, 1.5, -0.5, 0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 53.49%, Max Drawdown: 0.01%
(100, 2, 1.5, 0, -0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 59.09%, Max Drawdown: 0.01%
(100, 2, 1.5, 0, -0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 59.09%, Max Drawdown: 0.01%
(100, 2, 1.5, 0, 0, 3.5, 2.5): Return: 0.03%, Hit Ratio: 56.82%, Max Drawdown: 0.01%
(100, 2, 1.5, 0, 0, 3.5, 3): Return: 0.03%, Hit Ratio: 56.82%, Max Drawdown: 0.01%
(100, 2, 1.5, 0, 0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 56.82%, Max Drawdown: 0.01%
(100, 2, 1.5, 0, 0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 56.82%, Max Drawdown: 0.01%
(30, 1.5, 1, -0.5, -0.5, 3, 2.5): Return: 0.02%, Hit Ratio: 63.04%, Max Drawdown: 0.03%
(30, 1.5, 1, -0.5, -0.5, 3, 3): Return: 0.02%, Hit Ratio: 61.96%, Max Drawdown: 0.03%
(30, 1.5, 1, -0.5, -0.5, 3, 3.5): Return: 0.02%, Hit Ratio: 61.96%, Max Drawdown: 0.03%
(30, 1.5, 1, 0, -0.5, 2.5, 2.5): Return: 0.02%, Hit Ratio: 54.44%, Max Drawdown: 0.04%
(30, 1.5, 1, 0, -0.5, 2.5, 3): Return: 0.02%, Hit Ratio: 53.85%, Max Drawdown: 0.04%
(30, 1.5, 1, 0, -0.5, 2.5, 3.5): Return: 0.02%, Hit Ratio: 53.85%, Max Drawdown: 0.04%
(30, 1.5, 1, 0.5, -0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 53.33%, Max Drawdown: 0.06%
(30, 1.5, 1, 0.5, -0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 52.38%, Max Drawdown: 0.06%
