(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(100, 1, 1, -0.5, -0.5, 3.5, 3): Return: -0.0%, Hit Ratio: 47.17%, Max Drawdown: 0.12%
(100, 1, 1, 0, -0.5, 2.5, 2.5): Return: -0.0%, Hit Ratio: 45.54%, Max Drawdown: 0.1%
(100, 1, 1, 0, -0.5, 3, 3): Return: -0.0%, Hit Ratio: 48.67%, Max Drawdown: 0.12%
(100, 1, 1, 0, 0, 3.5, 2.5): Return: 0.0%, Hit Ratio: 49.15%, Max Drawdown: 0.11%
(100, 1, 1.5, 0, -0.5, 3, 2.5): Return: -0.0%, Hit Ratio: 44.68%, Max Drawdown: 0.09%
(100, 1, 2, 0, 0, 3.5, 2.5): Return: -0.0%, Hit Ratio: 48.28%, Max Drawdown: 0.11%
(30, 1, 2, -0.5, -0.5, 3.5, 2.5): Return: -0.01%, Hit Ratio: 44.23%, Max Drawdown: 0.15%
(30, 1.5, 1, -0.5, -0.5, 3.5, 2.5): Return: -0.01%, Hit Ratio: 46.0%, Max Drawdown: 0.16%
(30, 1.5, 1, 0, -0.5, 3.5, 2.5): Return: -0.01%, Hit Ratio: 46.3%, Max Drawdown: 0.15%
(30, 1.5, 1.5, -0.5, -0.5, 3, 2.5): Return: -0.01%, Hit Ratio: 44.78%, Max Drawdown: 0.11%
(30, 1.5, 1.5, -0.5, -0.5, 3, 3): Return: -0.01%, Hit Ratio: 43.48%, Max Drawdown: 0.12%
(30, 1.5, 1.5, -0.5, -0.5, 3.5, 3): Return: -0.01%, Hit Ratio: 44.29%, Max Drawdown: 0.11%
(30, 1.5, 1.5, 0, -0.5, 3, 3): Return: -0.01%, Hit Ratio: 45.07%, Max Drawdown: 0.12%
(30, 1.5, 1.5, 0, -0.5, 3.5, 3): Return: -0.01%, Hit Ratio: 44.44%, Max Drawdown: 0.12%
(30, 1.5, 2, -0.5, 0, 3, 2.5): Return: -0.01%, Hit Ratio: 46.55%, Max Drawdown: 0.13%
(30, 1.5, 2, -0.5, 0, 3.5, 3): Return: -0.01%, Hit Ratio: 45.9%, Max Drawdown: 0.13%
(30, 1.5, 2, -0.5, 0.5, 2.5, 2.5): Return: -0.01%, Hit Ratio: 37.5%, Max Drawdown: 0.12%
(30, 1.5, 2, -0.5, 0.5, 3, 3): Return: -0.01%, Hit Ratio: 37.7%, Max Drawdown: 0.13%
(30, 1.5, 2, -0.5, 0.5, 3.5, 3.5): Return: -0.01%, Hit Ratio: 37.5%, Max Drawdown: 0.14%
(30, 1.5, 2, 0, 0, 2.5, 3): Return: -0.01%, Hit Ratio: 39.66%, Max Drawdown: 0.12%
(30, 1.5, 2, 0, 0.5, 2.5, 3.5): Return: -0.01%, Hit Ratio: 38.71%, Max Drawdown: 0.13%
(30, 1.5, 2, 0, 0.5, 3, 3.5): Return: -0.01%, Hit Ratio: 40.62%, Max Drawdown: 0.13%
(30, 1.5, 2, 0, 0.5, 3.5, 3.5): Return: -0.01%, Hit Ratio: 40.0%, Max Drawdown: 0.13%
(30, 1.5, 2, 0.5, -0.5, 2.5, 3): Return: -0.01%, Hit Ratio: 39.66%, Max Drawdown: 0.11%
(30, 1.5, 2, 0.5, -0.5, 3, 3): Return: -0.01%, Hit Ratio: 40.98%, Max Drawdown: 0.12%
(30, 1.5, 2, 0.5, -0.5, 3.5, 3): Return: -0.01%, Hit Ratio: 40.32%, Max Drawdown: 0.11%
(30, 1.5, 2, 0.5, 0.5, 2.5, 2.5): Return: -0.01%, Hit Ratio: 38.6%, Max Drawdown: 0.12%
(30, 1.5, 2, 0.5, 0.5, 3, 3): Return: -0.01%, Hit Ratio: 38.71%, Max Drawdown: 0.13%
(30, 1.5, 2, 0.5, 0.5, 3.5, 3): Return: -0.01%, Hit Ratio: 38.1%, Max Drawdown: 0.13%
(30, 2, 2, 0, -0.5, 3.5, 2.5): Return: -0.01%, Hit Ratio: 55.88%, Max Drawdown: 0.07%
(60, 1.5, 2, 0, 0, 2.5, 3.5): Return: -0.01%, Hit Ratio: 40.0%, Max Drawdown: 0.14%
(60, 2, 2, -0.5, 0, 2.5, 2.5): Return: -0.01%, Hit Ratio: 57.14%, Max Drawdown: 0.06%
(60, 2, 2, -0.5, 0, 2.5, 3): Return: -0.01%, Hit Ratio: 59.09%, Max Drawdown: 0.06%
(60, 2, 2, -0.5, 0, 2.5, 3.5): Return: -0.01%, Hit Ratio: 53.85%, Max Drawdown: 0.06%
(60, 2, 2, -0.5, 0.5, 2.5, 2.5): Return: -0.01%, Hit Ratio: 52.38%, Max Drawdown: 0.06%
(60, 2, 2, -0.5, 0.5, 2.5, 3): Return: -0.01%, Hit Ratio: 54.55%, Max Drawdown: 0.06%
(60, 2, 2, 0, 0, 2.5, 2.5): Return: -0.01%, Hit Ratio: 52.38%, Max Drawdown: 0.06%
(60, 2, 2, 0, 0, 2.5, 3.5): Return: -0.01%, Hit Ratio: 50.0%, Max Drawdown: 0.05%
(60, 2, 2, 0, 0.5, 2.5, 2.5): Return: -0.01%, Hit Ratio: 52.38%, Max Drawdown: 0.06%
(60, 2, 2, 0, 0.5, 2.5, 3.5): Return: -0.01%, Hit Ratio: 50.0%, Max Drawdown: 0.05%
(60, 2, 2, 0.5, 0, 2.5, 3.5): Return: -0.01%, Hit Ratio: 53.85%, Max Drawdown: 0.06%
(60, 2, 2, 0.5, 0.5, 2.5, 3.5): Return: -0.01%, Hit Ratio: 53.85%, Max Drawdown: 0.06%
(100, 1, 1, 0, -0.5, 3.5, 3): Return: -0.01%, Hit Ratio: 48.25%, Max Drawdown: 0.13%
(100, 1, 1, 0, 0, 2.5, 2.5): Return: -0.01%, Hit Ratio: 47.41%, Max Drawdown: 0.1%
(100, 1, 1, 0, 0, 3, 3): Return: -0.01%, Hit Ratio: 50.43%, Max Drawdown: 0.12%
(100, 1, 1.5, -0.5, -0.5, 3, 2.5): Return: -0.01%, Hit Ratio: 44.71%, Max Drawdown: 0.09%
(100, 1, 1.5, 0, -0.5, 3.5, 2.5): Return: -0.01%, Hit Ratio: 44.79%, Max Drawdown: 0.11%
(100, 1, 2, 0, -0.5, 3, 2.5): Return: -0.01%, Hit Ratio: 42.86%, Max Drawdown: 0.1%
(100, 1, 2, 0, -0.5, 3.5, 2.5): Return: -0.01%, Hit Ratio: 43.02%, Max Drawdown: 0.11%
(100, 1, 2, 0, 0.5, 3, 2.5): Return: -0.01%, Hit Ratio: 44.44%, Max Drawdown: 0.11%
(100, 1, 2, 0, 0.5, 3.5, 2.5): Return: -0.01%, Hit Ratio: 44.57%, Max Drawdown: 0.12%
(30, 1, 2, -0.5, -0.5, 3, 2.5): Return: -0.02%, Hit Ratio: 43.69%, Max Drawdown: 0.15%
