(Lookback, Entry, Exit, Stop-loss)
(40, 2.1, -0.6, 2.6): Return: -0.06%, Hit Ratio: 30.77%, Max Drawdown: 0.09%
(40, 2.1, -0.5, 2.3): Return: -0.06%, Hit Ratio: 33.33%, Max Drawdown: 0.08%
(40, 2.1, -0.5, 2.5): Return: -0.06%, Hit Ratio: 38.46%, Max Drawdown: 0.09%
(40, 2.1, -0.5, 2.6): Return: -0.06%, Hit Ratio: 38.46%, Max Drawdown: 0.09%
(40, 2.2, -0.7, 2.4): Return: -0.06%, Hit Ratio: 0.0%, Max Drawdown: 0.1%
(40, 2.2, -0.4, 2.7): Return: -0.06%, Hit Ratio: 33.33%, Max Drawdown: 0.09%
(40, 2.2, -0.3, 2.7): Return: -0.06%, Hit Ratio: 33.33%, Max Drawdown: 0.09%
(20, 1.8, -0.7, 2.3): Return: -0.07%, Hit Ratio: 61.9%, Max Drawdown: 0.13%
(20, 1.8, -0.7, 2.4): Return: -0.07%, Hit Ratio: 59.09%, Max Drawdown: 0.13%
(20, 1.8, -0.5, 2.3): Return: -0.07%, Hit Ratio: 63.64%, Max Drawdown: 0.13%
(20, 1.8, -0.3, 2.3): Return: -0.07%, Hit Ratio: 60.87%, Max Drawdown: 0.11%
(20, 1.8, -0.3, 2.4): Return: -0.07%, Hit Ratio: 58.33%, Max Drawdown: 0.11%
(20, 2.1, -0.7, 2.5): Return: -0.07%, Hit Ratio: 33.33%, Max Drawdown: 0.1%
(20, 2.1, -0.7, 2.6): Return: -0.07%, Hit Ratio: 30.77%, Max Drawdown: 0.1%
(20, 2.1, -0.7, 2.7): Return: -0.07%, Hit Ratio: 30.77%, Max Drawdown: 0.1%
(20, 2.1, -0.6, 2.5): Return: -0.07%, Hit Ratio: 33.33%, Max Drawdown: 0.1%
(20, 2.1, -0.6, 2.6): Return: -0.07%, Hit Ratio: 30.77%, Max Drawdown: 0.1%
(20, 2.1, -0.6, 2.7): Return: -0.07%, Hit Ratio: 30.77%, Max Drawdown: 0.1%
(20, 2.1, -0.3, 2.5): Return: -0.07%, Hit Ratio: 33.33%, Max Drawdown: 0.1%
(20, 2.1, -0.3, 2.6): Return: -0.07%, Hit Ratio: 30.77%, Max Drawdown: 0.1%
(20, 2.1, -0.3, 2.7): Return: -0.07%, Hit Ratio: 30.77%, Max Drawdown: 0.1%
(35, 1.8, -0.4, 2.5): Return: -0.07%, Hit Ratio: 52.63%, Max Drawdown: 0.1%
(35, 1.8, -0.4, 2.6): Return: -0.07%, Hit Ratio: 55.0%, Max Drawdown: 0.1%
(35, 1.8, -0.4, 2.7): Return: -0.07%, Hit Ratio: 57.14%, Max Drawdown: 0.1%
(35, 1.9, -0.4, 2.5): Return: -0.07%, Hit Ratio: 52.63%, Max Drawdown: 0.1%
(35, 1.9, -0.4, 2.6): Return: -0.07%, Hit Ratio: 55.0%, Max Drawdown: 0.1%
(35, 1.9, -0.4, 2.7): Return: -0.07%, Hit Ratio: 57.14%, Max Drawdown: 0.1%
(35, 1.9, -0.3, 2.3): Return: -0.07%, Hit Ratio: 50.0%, Max Drawdown: 0.08%
(35, 1.9, -0.3, 2.4): Return: -0.07%, Hit Ratio: 50.0%, Max Drawdown: 0.08%
(35, 2.0, -0.7, 2.4): Return: -0.07%, Hit Ratio: 30.77%, Max Drawdown: 0.09%
(35, 2.0, -0.6, 2.4): Return: -0.07%, Hit Ratio: 30.77%, Max Drawdown: 0.09%
(35, 2.0, -0.5, 2.4): Return: -0.07%, Hit Ratio: 38.46%, Max Drawdown: 0.09%
(35, 2.0, -0.3, 2.3): Return: -0.07%, Hit Ratio: 41.67%, Max Drawdown: 0.08%
(35, 2.1, -0.7, 2.3): Return: -0.07%, Hit Ratio: 22.22%, Max Drawdown: 0.08%
