(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(60, 1, 1, 0.5, -0.5, 3, 2.5): Return: 0.14%, Hit Ratio: 48.91%, Max Drawdown: 0.03%
(60, 1, 1, 0.5, -0.5, 3, 3): Return: 0.14%, Hit Ratio: 48.91%, Max Drawdown: 0.03%
(60, 1, 1, 0.5, -0.5, 3, 3.5): Return: 0.14%, Hit Ratio: 51.11%, Max Drawdown: 0.03%
(60, 1, 1, 0.5, -0.5, 3.5, 2.5): Return: 0.14%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(60, 1, 1, 0.5, -0.5, 3.5, 3): Return: 0.14%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(60, 1, 1, 0.5, -0.5, 3.5, 3.5): Return: 0.14%, Hit Ratio: 52.24%, Max Drawdown: 0.03%
(60, 1, 1, 0.5, 0, 3.5, 3.5): Return: 0.14%, Hit Ratio: 51.09%, Max Drawdown: 0.03%
(60, 1, 2, 0, -0.5, 3, 2.5): Return: 0.14%, Hit Ratio: 60.2%, Max Drawdown: 0.02%
(60, 1, 2, 0, -0.5, 3.5, 2.5): Return: 0.14%, Hit Ratio: 61.22%, Max Drawdown: 0.02%
(60, 1, 2, 0, -0.5, 3.5, 3): Return: 0.14%, Hit Ratio: 60.61%, Max Drawdown: 0.02%
(100, 1, 1, 0, -0.5, 2.5, 3): Return: 0.14%, Hit Ratio: 55.14%, Max Drawdown: 0.03%
(100, 1, 1, 0, -0.5, 3, 2.5): Return: 0.14%, Hit Ratio: 55.14%, Max Drawdown: 0.04%
(100, 1, 1, 0, -0.5, 3.5, 2.5): Return: 0.14%, Hit Ratio: 55.14%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0, 3, 2.5): Return: 0.14%, Hit Ratio: 53.64%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0, 3.5, 2.5): Return: 0.14%, Hit Ratio: 53.64%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0.5, 2.5, 3): Return: 0.14%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(100, 1, 1, 0, 0.5, 2.5, 3.5): Return: 0.14%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(100, 1, 1, 0, 0.5, 3, 3): Return: 0.14%, Hit Ratio: 50.88%, Max Drawdown: 0.03%
(100, 1, 1, 0, 0.5, 3, 3.5): Return: 0.14%, Hit Ratio: 50.88%, Max Drawdown: 0.03%
(100, 1, 1, 0, 0.5, 3.5, 3): Return: 0.14%, Hit Ratio: 50.88%, Max Drawdown: 0.03%
(100, 1, 1, 0, 0.5, 3.5, 3.5): Return: 0.14%, Hit Ratio: 50.88%, Max Drawdown: 0.03%
(30, 1, 1.5, -0.5, 0, 2.5, 2.5): Return: 0.13%, Hit Ratio: 55.05%, Max Drawdown: 0.03%
(30, 1, 1.5, -0.5, 0, 2.5, 3): Return: 0.13%, Hit Ratio: 54.46%, Max Drawdown: 0.03%
(30, 1, 1.5, -0.5, 0, 3, 2.5): Return: 0.13%, Hit Ratio: 56.36%, Max Drawdown: 0.03%
(30, 1, 1.5, -0.5, 0, 3, 3): Return: 0.13%, Hit Ratio: 55.75%, Max Drawdown: 0.03%
(30, 1, 1.5, -0.5, 0, 3.5, 2.5): Return: 0.13%, Hit Ratio: 56.76%, Max Drawdown: 0.03%
(30, 1, 2, -0.5, -0.5, 2.5, 3.5): Return: 0.13%, Hit Ratio: 58.76%, Max Drawdown: 0.03%
(30, 1, 2, -0.5, -0.5, 3, 3.5): Return: 0.13%, Hit Ratio: 59.18%, Max Drawdown: 0.03%
(30, 1, 2, -0.5, -0.5, 3.5, 3.5): Return: 0.13%, Hit Ratio: 59.6%, Max Drawdown: 0.03%
(30, 1, 2, -0.5, 0, 2.5, 3): Return: 0.13%, Hit Ratio: 57.14%, Max Drawdown: 0.03%
(30, 1, 2, -0.5, 0, 3, 2.5): Return: 0.13%, Hit Ratio: 58.25%, Max Drawdown: 0.03%
(30, 1, 2, -0.5, 0, 3, 3): Return: 0.13%, Hit Ratio: 57.55%, Max Drawdown: 0.03%
(30, 1, 2, -0.5, 0, 3.5, 2.5): Return: 0.13%, Hit Ratio: 58.65%, Max Drawdown: 0.03%
(30, 1, 2, -0.5, 0, 3.5, 3): Return: 0.13%, Hit Ratio: 57.94%, Max Drawdown: 0.03%
(30, 1, 2, 0, -0.5, 2.5, 2.5): Return: 0.13%, Hit Ratio: 57.14%, Max Drawdown: 0.03%
(30, 1, 2, 0, -0.5, 2.5, 3): Return: 0.13%, Hit Ratio: 56.88%, Max Drawdown: 0.03%
(30, 1, 2, 0, -0.5, 3, 2.5): Return: 0.13%, Hit Ratio: 58.33%, Max Drawdown: 0.03%
(30, 1, 2, 0, -0.5, 3, 3): Return: 0.13%, Hit Ratio: 57.66%, Max Drawdown: 0.03%
(30, 1, 2, 0, -0.5, 3.5, 2.5): Return: 0.13%, Hit Ratio: 58.72%, Max Drawdown: 0.03%
(30, 1, 2, 0, -0.5, 3.5, 3): Return: 0.13%, Hit Ratio: 58.04%, Max Drawdown: 0.03%
(30, 1, 2, 0, 0, 2.5, 2.5): Return: 0.13%, Hit Ratio: 57.94%, Max Drawdown: 0.03%
(30, 1, 2, 0, 0, 2.5, 3): Return: 0.13%, Hit Ratio: 57.66%, Max Drawdown: 0.03%
(30, 1, 2, 0, 0, 3, 2.5): Return: 0.13%, Hit Ratio: 59.09%, Max Drawdown: 0.03%
(30, 1, 2, 0, 0, 3, 3): Return: 0.13%, Hit Ratio: 58.41%, Max Drawdown: 0.03%
(30, 1, 2, 0, 0, 3.5, 2.5): Return: 0.13%, Hit Ratio: 59.46%, Max Drawdown: 0.03%
(30, 1, 2, 0, 0, 3.5, 3): Return: 0.13%, Hit Ratio: 58.77%, Max Drawdown: 0.03%
(30, 1, 2, 0, 0.5, 2.5, 3): Return: 0.13%, Hit Ratio: 58.41%, Max Drawdown: 0.03%
(30, 1, 2, 0, 0.5, 3, 3): Return: 0.13%, Hit Ratio: 59.13%, Max Drawdown: 0.03%
(30, 1, 2, 0.5, -0.5, 2.5, 2.5): Return: 0.13%, Hit Ratio: 55.86%, Max Drawdown: 0.03%
(30, 1, 2, 0.5, -0.5, 2.5, 3): Return: 0.13%, Hit Ratio: 55.65%, Max Drawdown: 0.03%
(30, 1, 2, 0.5, -0.5, 3, 2.5): Return: 0.13%, Hit Ratio: 57.02%, Max Drawdown: 0.03%
(30, 1, 2, 0.5, -0.5, 3, 3): Return: 0.13%, Hit Ratio: 56.41%, Max Drawdown: 0.03%
(30, 1, 2, 0.5, -0.5, 3.5, 2.5): Return: 0.13%, Hit Ratio: 58.26%, Max Drawdown: 0.03%
(30, 1, 2, 0.5, -0.5, 3.5, 3): Return: 0.13%, Hit Ratio: 57.63%, Max Drawdown: 0.03%
(30, 1, 2, 0.5, 0, 2.5, 3): Return: 0.13%, Hit Ratio: 54.31%, Max Drawdown: 0.03%
(30, 1, 2, 0.5, 0, 3, 2.5): Return: 0.13%, Hit Ratio: 55.65%, Max Drawdown: 0.03%
(30, 1, 2, 0.5, 0, 3, 3): Return: 0.13%, Hit Ratio: 55.08%, Max Drawdown: 0.03%
(30, 1, 2, 0.5, 0, 3.5, 2.5): Return: 0.13%, Hit Ratio: 56.9%, Max Drawdown: 0.03%
(30, 1, 2, 0.5, 0, 3.5, 3): Return: 0.13%, Hit Ratio: 56.3%, Max Drawdown: 0.03%
(60, 1, 1, -0.5, 0.5, 3, 3): Return: 0.13%, Hit Ratio: 53.6%, Max Drawdown: 0.03%
(60, 1, 1, -0.5, 0.5, 3.5, 3): Return: 0.13%, Hit Ratio: 53.6%, Max Drawdown: 0.03%
(60, 1, 1, 0, 0.5, 2.5, 3): Return: 0.13%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(60, 1, 1, 0, 0.5, 3, 3): Return: 0.13%, Hit Ratio: 50.38%, Max Drawdown: 0.03%
(60, 1, 1, 0, 0.5, 3, 3.5): Return: 0.13%, Hit Ratio: 51.94%, Max Drawdown: 0.03%
(60, 1, 1, 0, 0.5, 3.5, 3): Return: 0.13%, Hit Ratio: 50.38%, Max Drawdown: 0.03%
