(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 1, 1, 0.5, 0, 3.5, 2.5): Return: 0.08%, Hit Ratio: 48.37%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, 0, 3.5, 3): Return: 0.09%, Hit Ratio: 49.67%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, 0, 3.5, 3.5): Return: 0.09%, Hit Ratio: 49.67%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, 0.5, 2.5, 2.5): Return: 0.08%, Hit Ratio: 49.3%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, 0.5, 2.5, 3): Return: 0.09%, Hit Ratio: 50.7%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, 0.5, 2.5, 3.5): Return: 0.09%, Hit Ratio: 50.7%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, 0.5, 3, 2.5): Return: 0.09%, Hit Ratio: 50.33%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, 0.5, 3, 3): Return: 0.1%, Hit Ratio: 51.66%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, 0.5, 3, 3.5): Return: 0.1%, Hit Ratio: 51.66%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, 0.5, 3.5, 2.5): Return: 0.09%, Hit Ratio: 50.98%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, 0.5, 3.5, 3): Return: 0.1%, Hit Ratio: 52.29%, Max Drawdown: 0.04%
(30, 1, 1, 0.5, 0.5, 3.5, 3.5): Return: 0.1%, Hit Ratio: 52.29%, Max Drawdown: 0.04%
(30, 1, 1.5, -0.5, -0.5, 2.5, 2.5): Return: 0.05%, Hit Ratio: 49.55%, Max Drawdown: 0.04%
(30, 1, 1.5, -0.5, -0.5, 2.5, 3): Return: 0.06%, Hit Ratio: 50.45%, Max Drawdown: 0.04%
(30, 1, 1.5, -0.5, -0.5, 2.5, 3.5): Return: 0.06%, Hit Ratio: 50.45%, Max Drawdown: 0.04%
(30, 1, 1.5, -0.5, -0.5, 3, 2.5): Return: 0.08%, Hit Ratio: 50.43%, Max Drawdown: 0.03%
(30, 1, 1.5, -0.5, -0.5, 3, 3): Return: 0.09%, Hit Ratio: 51.28%, Max Drawdown: 0.03%
(30, 1, 1.5, -0.5, -0.5, 3, 3.5): Return: 0.09%, Hit Ratio: 51.28%, Max Drawdown: 0.03%
(30, 1, 1.5, -0.5, -0.5, 3.5, 2.5): Return: 0.08%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(30, 1, 1.5, -0.5, -0.5, 3.5, 3): Return: 0.09%, Hit Ratio: 50.85%, Max Drawdown: 0.03%
(30, 1, 1.5, -0.5, -0.5, 3.5, 3.5): Return: 0.09%, Hit Ratio: 50.85%, Max Drawdown: 0.03%
(30, 1, 1.5, -0.5, 0, 2.5, 2.5): Return: 0.09%, Hit Ratio: 52.07%, Max Drawdown: 0.04%
