(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 1, 1.5, -0.5, -0.5, 3.5, 2.5): Return: -3.1%, Hit Ratio: 80.39%, Max Drawdown: 5.27%
(30, 1, 1.5, -0.5, -0.5, 3.5, 3): Return: -3.1%, Hit Ratio: 82.35%, Max Drawdown: 5.27%
(30, 1, 1.5, -0.5, -0.5, 3.5, 3.5): Return: -3.16%, Hit Ratio: 84.0%, Max Drawdown: 5.27%
(30, 1, 1.5, -0.5, 0, 2.5, 2.5): Return: 2.3%, Hit Ratio: 77.19%, Max Drawdown: 0.06%
(30, 1, 1.5, -0.5, 0, 2.5, 3): Return: 2.3%, Hit Ratio: 79.31%, Max Drawdown: 0.06%
(30, 1, 1.5, -0.5, 0, 2.5, 3.5): Return: 2.25%, Hit Ratio: 79.31%, Max Drawdown: 0.06%
(30, 1, 1.5, -0.5, 0, 3, 2.5): Return: 2.3%, Hit Ratio: 78.57%, Max Drawdown: 0.06%
(30, 1, 1.5, -0.5, 0, 3, 3): Return: 2.3%, Hit Ratio: 80.7%, Max Drawdown: 0.06%
(30, 1, 1.5, -0.5, 0, 3, 3.5): Return: 2.25%, Hit Ratio: 82.46%, Max Drawdown: 0.06%
(30, 1, 1.5, -0.5, 0, 3.5, 2.5): Return: 2.3%, Hit Ratio: 78.57%, Max Drawdown: 0.06%
(30, 1, 1.5, -0.5, 0, 3.5, 3): Return: 2.3%, Hit Ratio: 80.7%, Max Drawdown: 0.06%
(30, 1, 1.5, -0.5, 0, 3.5, 3.5): Return: 2.25%, Hit Ratio: 82.46%, Max Drawdown: 0.06%
(30, 1, 1.5, -0.5, 0.5, 2.5, 2.5): Return: -1.17%, Hit Ratio: 66.13%, Max Drawdown: 1.74%
(30, 1, 1.5, -0.5, 0.5, 2.5, 3): Return: -1.17%, Hit Ratio: 68.25%, Max Drawdown: 1.74%
(30, 1, 1.5, -0.5, 0.5, 2.5, 3.5): Return: -1.1%, Hit Ratio: 69.84%, Max Drawdown: 1.66%
(30, 1, 1.5, -0.5, 0.5, 3, 2.5): Return: -1.17%, Hit Ratio: 67.21%, Max Drawdown: 1.74%
(30, 1, 1.5, -0.5, 0.5, 3, 3): Return: -1.17%, Hit Ratio: 69.35%, Max Drawdown: 1.74%
(30, 1, 1.5, -0.5, 0.5, 3, 3.5): Return: -1.1%, Hit Ratio: 72.58%, Max Drawdown: 1.66%
(30, 1, 1.5, -0.5, 0.5, 3.5, 2.5): Return: -1.17%, Hit Ratio: 67.21%, Max Drawdown: 1.74%
(30, 1, 1.5, -0.5, 0.5, 3.5, 3): Return: -1.17%, Hit Ratio: 69.35%, Max Drawdown: 1.74%
(30, 1, 1.5, -0.5, 0.5, 3.5, 3.5): Return: -1.1%, Hit Ratio: 72.58%, Max Drawdown: 1.66%
(30, 1, 1.5, 0, -0.5, 2.5, 2.5): Return: 3.01%, Hit Ratio: 83.93%, Max Drawdown: 0.05%
(30, 1, 1.5, 0, -0.5, 2.5, 3): Return: 3.0%, Hit Ratio: 87.5%, Max Drawdown: 0.05%
(30, 1, 1.5, 0, -0.5, 2.5, 3.5): Return: 2.94%, Hit Ratio: 89.09%, Max Drawdown: 0.05%
(30, 1, 1.5, 0, -0.5, 3, 2.5): Return: 3.0%, Hit Ratio: 85.45%, Max Drawdown: 0.05%
(30, 1, 1.5, 0, -0.5, 3, 3): Return: 3.0%, Hit Ratio: 89.09%, Max Drawdown: 0.05%
(30, 1, 1.5, 0, -0.5, 3, 3.5): Return: 2.95%, Hit Ratio: 92.59%, Max Drawdown: 0.05%
(30, 1, 1.5, 0, -0.5, 3.5, 2.5): Return: 3.0%, Hit Ratio: 85.45%, Max Drawdown: 0.05%
(30, 1, 1.5, 0, -0.5, 3.5, 3): Return: 3.0%, Hit Ratio: 89.09%, Max Drawdown: 0.05%
(30, 1, 1.5, 0, -0.5, 3.5, 3.5): Return: 2.95%, Hit Ratio: 92.59%, Max Drawdown: 0.05%
(30, 1, 1.5, 0, 0, 2.5, 2.5): Return: 2.99%, Hit Ratio: 81.03%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0, 2.5, 3): Return: 2.99%, Hit Ratio: 83.05%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0, 2.5, 3.5): Return: 2.93%, Hit Ratio: 83.05%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0, 3, 2.5): Return: 2.99%, Hit Ratio: 82.46%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0, 3, 3): Return: 2.99%, Hit Ratio: 84.48%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0, 3, 3.5): Return: 2.93%, Hit Ratio: 86.21%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0, 3.5, 2.5): Return: 2.99%, Hit Ratio: 82.46%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0, 3.5, 3): Return: 2.99%, Hit Ratio: 84.48%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0, 3.5, 3.5): Return: 2.93%, Hit Ratio: 86.21%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0.5, 2.5, 2.5): Return: 2.71%, Hit Ratio: 73.02%, Max Drawdown: 0.2%
(30, 1, 1.5, 0, 0.5, 2.5, 3): Return: 2.71%, Hit Ratio: 75.0%, Max Drawdown: 0.2%
(30, 1, 1.5, 0, 0.5, 2.5, 3.5): Return: 2.79%, Hit Ratio: 76.56%, Max Drawdown: 0.08%
(30, 1, 1.5, 0, 0.5, 3, 2.5): Return: 2.71%, Hit Ratio: 74.19%, Max Drawdown: 0.2%
(30, 1, 1.5, 0, 0.5, 3, 3): Return: 2.71%, Hit Ratio: 76.19%, Max Drawdown: 0.2%
(30, 1, 1.5, 0, 0.5, 3, 3.5): Return: 2.79%, Hit Ratio: 79.37%, Max Drawdown: 0.08%
(30, 1, 1.5, 0, 0.5, 3.5, 2.5): Return: 2.71%, Hit Ratio: 74.19%, Max Drawdown: 0.2%
(30, 1, 1.5, 0, 0.5, 3.5, 3): Return: 2.71%, Hit Ratio: 76.19%, Max Drawdown: 0.2%
(30, 1, 1.5, 0, 0.5, 3.5, 3.5): Return: 2.79%, Hit Ratio: 79.37%, Max Drawdown: 0.08%
(30, 1, 1.5, 0.5, -0.5, 2.5, 2.5): Return: 2.64%, Hit Ratio: 75.0%, Max Drawdown: 0.19%
(30, 1, 1.5, 0.5, -0.5, 2.5, 3): Return: 2.64%, Hit Ratio: 76.81%, Max Drawdown: 0.19%
(30, 1, 1.5, 0.5, -0.5, 2.5, 3.5): Return: 2.58%, Hit Ratio: 76.47%, Max Drawdown: 0.2%
(30, 1, 1.5, 0.5, -0.5, 3, 2.5): Return: 2.64%, Hit Ratio: 76.12%, Max Drawdown: 0.19%
(30, 1, 1.5, 0.5, -0.5, 3, 3): Return: 2.64%, Hit Ratio: 77.94%, Max Drawdown: 0.19%
(30, 1, 1.5, 0.5, -0.5, 3, 3.5): Return: 2.58%, Hit Ratio: 79.1%, Max Drawdown: 0.2%
(30, 1, 1.5, 0.5, -0.5, 3.5, 2.5): Return: 2.64%, Hit Ratio: 76.12%, Max Drawdown: 0.19%
(30, 1, 1.5, 0.5, -0.5, 3.5, 3): Return: 2.64%, Hit Ratio: 77.94%, Max Drawdown: 0.19%
(30, 1, 1.5, 0.5, -0.5, 3.5, 3.5): Return: 2.58%, Hit Ratio: 79.1%, Max Drawdown: 0.2%
(30, 1, 1.5, 0.5, 0, 2.5, 2.5): Return: 2.72%, Hit Ratio: 76.47%, Max Drawdown: 0.19%
(30, 1, 1.5, 0.5, 0, 2.5, 3): Return: 2.72%, Hit Ratio: 78.26%, Max Drawdown: 0.19%
(30, 1, 1.5, 0.5, 0, 2.5, 3.5): Return: 2.66%, Hit Ratio: 78.26%, Max Drawdown: 0.2%
(30, 1, 1.5, 0.5, 0, 3, 2.5): Return: 2.72%, Hit Ratio: 77.61%, Max Drawdown: 0.19%
(30, 1, 1.5, 0.5, 0, 3, 3): Return: 2.72%, Hit Ratio: 79.41%, Max Drawdown: 0.19%
(30, 1, 1.5, 0.5, 0, 3, 3.5): Return: 2.66%, Hit Ratio: 80.88%, Max Drawdown: 0.2%
(30, 1, 1.5, 0.5, 0, 3.5, 2.5): Return: 2.72%, Hit Ratio: 77.61%, Max Drawdown: 0.19%
(30, 1, 1.5, 0.5, 0, 3.5, 3): Return: 2.72%, Hit Ratio: 79.41%, Max Drawdown: 0.19%
(30, 1, 1.5, 0.5, 0, 3.5, 3.5): Return: 2.66%, Hit Ratio: 80.88%, Max Drawdown: 0.2%
(30, 1, 1.5, 0.5, 0.5, 2.5, 2.5): Return: 2.71%, Hit Ratio: 71.43%, Max Drawdown: 0.19%
