(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 1, 1, 0.5, 0, 2.5, 3.5): Return: -3.49%, Hit Ratio: 37.32%, Max Drawdown: 3.75%
(30, 1, 1, 0.5, 0, 3, 2.5): Return: -4.06%, Hit Ratio: 36.62%, Max Drawdown: 4.32%
(30, 1, 1, 0.5, 0, 3, 3): Return: -4.06%, Hit Ratio: 36.62%, Max Drawdown: 4.32%
(30, 1, 1, 0.5, 0, 3, 3.5): Return: -4.06%, Hit Ratio: 36.62%, Max Drawdown: 4.32%
(30, 1, 1, 0.5, 0, 3.5, 2.5): Return: -4.06%, Hit Ratio: 36.62%, Max Drawdown: 4.32%
(30, 1, 1, 0.5, 0, 3.5, 3): Return: -4.06%, Hit Ratio: 36.62%, Max Drawdown: 4.32%
(30, 1, 1, 0.5, 0, 3.5, 3.5): Return: -4.06%, Hit Ratio: 36.62%, Max Drawdown: 4.32%
(30, 1, 1, 0.5, 0.5, 2.5, 2.5): Return: -3.18%, Hit Ratio: 37.76%, Max Drawdown: 3.52%
(30, 1, 1, 0.5, 0.5, 2.5, 3): Return: -3.35%, Hit Ratio: 37.5%, Max Drawdown: 3.69%
(30, 1, 1, 0.5, 0.5, 2.5, 3.5): Return: -3.35%, Hit Ratio: 37.5%, Max Drawdown: 3.69%
(30, 1, 1, 0.5, 0.5, 3, 2.5): Return: -3.92%, Hit Ratio: 36.81%, Max Drawdown: 4.26%
(30, 1, 1, 0.5, 0.5, 3, 3): Return: -3.92%, Hit Ratio: 36.81%, Max Drawdown: 4.26%
(30, 1, 1, 0.5, 0.5, 3, 3.5): Return: -3.92%, Hit Ratio: 36.81%, Max Drawdown: 4.26%
(30, 1, 1, 0.5, 0.5, 3.5, 2.5): Return: -3.92%, Hit Ratio: 36.81%, Max Drawdown: 4.26%
(30, 1, 1, 0.5, 0.5, 3.5, 3): Return: -3.92%, Hit Ratio: 36.81%, Max Drawdown: 4.26%
(30, 1, 1, 0.5, 0.5, 3.5, 3.5): Return: -3.92%, Hit Ratio: 36.81%, Max Drawdown: 4.26%
(30, 1, 1.5, -0.5, -0.5, 2.5, 2.5): Return: -1.3%, Hit Ratio: 33.33%, Max Drawdown: 1.38%
(30, 1, 1.5, -0.5, -0.5, 2.5, 3): Return: -1.35%, Hit Ratio: 32.98%, Max Drawdown: 1.43%
(30, 1, 1.5, -0.5, -0.5, 2.5, 3.5): Return: -1.35%, Hit Ratio: 32.98%, Max Drawdown: 1.43%
(30, 1, 1.5, -0.5, -0.5, 3, 2.5): Return: -1.12%, Hit Ratio: 34.04%, Max Drawdown: 1.35%
