(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(100, 2, 2, 0, 0.5, 2.5, 3): Return: 0.49%, Hit Ratio: 54.17%, Max Drawdown: 0.12%
(100, 2, 2, 0, 0.5, 2.5, 3.5): Return: 0.49%, Hit Ratio: 54.17%, Max Drawdown: 0.12%
(100, 2, 2, 0, 0.5, 3, 3): Return: 0.49%, Hit Ratio: 50.0%, Max Drawdown: 0.12%
(100, 2, 2, 0, 0.5, 3, 3.5): Return: 0.49%, Hit Ratio: 50.0%, Max Drawdown: 0.12%
(30, 1, 1.5, 0, 0.5, 3.5, 2.5): Return: 0.48%, Hit Ratio: 45.54%, Max Drawdown: 0.24%
(30, 1, 2, -0.5, 0.5, 3, 2.5): Return: 0.48%, Hit Ratio: 45.54%, Max Drawdown: 0.23%
(30, 1, 2, -0.5, 0.5, 3.5, 3.5): Return: 0.48%, Hit Ratio: 46.6%, Max Drawdown: 0.23%
(30, 1, 2, 0.5, 0.5, 3, 2.5): Return: 0.48%, Hit Ratio: 51.38%, Max Drawdown: 0.23%
(60, 1.5, 2, 0, 0.5, 2.5, 3): Return: 0.48%, Hit Ratio: 51.22%, Max Drawdown: 0.16%
(60, 1.5, 2, 0, 0.5, 2.5, 3.5): Return: 0.48%, Hit Ratio: 51.22%, Max Drawdown: 0.16%
(60, 1.5, 2, 0.5, 0.5, 2.5, 3): Return: 0.48%, Hit Ratio: 51.16%, Max Drawdown: 0.18%
(60, 1.5, 2, 0.5, 0.5, 2.5, 3.5): Return: 0.48%, Hit Ratio: 51.16%, Max Drawdown: 0.18%
(100, 1, 1.5, 0.5, -0.5, 2.5, 3): Return: 0.48%, Hit Ratio: 54.74%, Max Drawdown: 0.3%
(100, 1, 1.5, 0.5, -0.5, 2.5, 3.5): Return: 0.48%, Hit Ratio: 54.74%, Max Drawdown: 0.3%
(30, 1, 1.5, 0.5, -0.5, 3, 3): Return: 0.47%, Hit Ratio: 49.15%, Max Drawdown: 0.35%
(30, 1, 2, -0.5, 0.5, 2.5, 3.5): Return: 0.47%, Hit Ratio: 45.19%, Max Drawdown: 0.23%
(60, 1.5, 1.5, 0, 0.5, 2.5, 3): Return: 0.47%, Hit Ratio: 49.09%, Max Drawdown: 0.17%
(60, 1.5, 1.5, 0, 0.5, 2.5, 3.5): Return: 0.47%, Hit Ratio: 49.09%, Max Drawdown: 0.17%
(100, 1, 1.5, 0.5, -0.5, 3, 3): Return: 0.47%, Hit Ratio: 53.61%, Max Drawdown: 0.3%
