(Lookback, Entry, Exit, Stop-loss)
Best HPs: (60, 2, 0.5, 3), Return: 25.13%, Hit Ratio: 90.91%, Max Drawdown: 3.47%
(60, 2, 0.5, 3): Return: 25.13%, Hit Ratio: 90.91%, Max Drawdown: 3.47%
(60, 1, -0.5, 3.5): Return: 14.89%, Hit Ratio: 87.1%, Max Drawdown: 3.77%
(30, 2, -0.5, 2.5): Return: 14.09%, Hit Ratio: 91.67%, Max Drawdown: 3.79%
(100, 1.5, 0, 2.5): Return: 13.79%, Hit Ratio: 85.71%, Max Drawdown: 3.8%
(60, 1, -0.5, 3): Return: 13.51%, Hit Ratio: 87.1%, Max Drawdown: 3.81%
(30, 1.5, -0.5, 2.5): Return: 13.49%, Hit Ratio: 75.0%, Max Drawdown: 3.81%
(30, 1.5, -0.5, 3): Return: 13.49%, Hit Ratio: 78.26%, Max Drawdown: 3.81%
(30, 1.5, -0.5, 3.5): Return: 13.49%, Hit Ratio: 78.26%, Max Drawdown: 3.81%
(100, 1.5, 0, 3): Return: 13.35%, Hit Ratio: 90.48%, Max Drawdown: 3.81%
(100, 1.5, 0, 3.5): Return: 13.35%, Hit Ratio: 90.48%, Max Drawdown: 3.81%
(30, 2, 0, 3): Return: 13.2%, Hit Ratio: 92.86%, Max Drawdown: 3.82%
(30, 2, 0, 3.5): Return: 13.2%, Hit Ratio: 92.86%, Max Drawdown: 3.82%
(60, 2, 0, 3.5): Return: 13.1%, Hit Ratio: 100.0%, Max Drawdown: 3.82%
(60, 1, 0, 3): Return: 12.91%, Hit Ratio: 82.35%, Max Drawdown: 3.83%
(60, 1.5, 0, 3): Return: 12.81%, Hit Ratio: 75.0%, Max Drawdown: 3.83%
(60, 1.5, -0.5, 3.5): Return: 12.51%, Hit Ratio: 81.25%, Max Drawdown: 3.84%
(30, 2, 0, 2.5): Return: 11.56%, Hit Ratio: 91.67%, Max Drawdown: 3.87%
(60, 1.5, -0.5, 3): Return: 11.12%, Hit Ratio: 81.25%, Max Drawdown: 3.89%
(30, 1.5, 0, 2.5): Return: 10.96%, Hit Ratio: 76.0%, Max Drawdown: 3.89%
(30, 1.5, 0, 3): Return: 10.96%, Hit Ratio: 79.17%, Max Drawdown: 3.89%
(30, 1.5, 0, 3.5): Return: 10.96%, Hit Ratio: 79.17%, Max Drawdown: 3.89%
(30, 2, -0.5, 3): Return: 10.85%, Hit Ratio: 92.31%, Max Drawdown: 3.9%
(30, 2, -0.5, 3.5): Return: 10.85%, Hit Ratio: 92.31%, Max Drawdown: 3.9%
(60, 2, -0.5, 3.5): Return: 10.75%, Hit Ratio: 100.0%, Max Drawdown: 3.9%
(60, 1, -0.5, 2.5): Return: 10.54%, Hit Ratio: 80.0%, Max Drawdown: 3.26%
(60, 1, 0, 3.5): Return: 10.07%, Hit Ratio: 82.35%, Max Drawdown: 3.92%
(60, 1.5, 0, 3.5): Return: 9.97%, Hit Ratio: 75.0%, Max Drawdown: 3.93%
(30, 1, 0, 3): Return: 9.86%, Hit Ratio: 73.81%, Max Drawdown: 3.93%
(30, 1, 0, 3.5): Return: 9.86%, Hit Ratio: 73.81%, Max Drawdown: 3.93%
(30, 1, 0, 2.5): Return: 9.83%, Hit Ratio: 68.18%, Max Drawdown: 3.93%
(60, 2, -0.5, 3): Return: 9.36%, Hit Ratio: 100.0%, Max Drawdown: 3.95%
(30, 1, -0.5, 3): Return: 8.88%, Hit Ratio: 75.68%, Max Drawdown: 5.23%
(30, 1, -0.5, 3.5): Return: 8.88%, Hit Ratio: 75.68%, Max Drawdown: 5.23%
(30, 1, -0.5, 2.5): Return: 8.86%, Hit Ratio: 71.79%, Max Drawdown: 5.23%
(60, 1, 0, 2.5): Return: 8.25%, Hit Ratio: 75.76%, Max Drawdown: 4.15%
(60, 1.5, -0.5, 2.5): Return: 8.16%, Hit Ratio: 66.67%, Max Drawdown: 3.33%
(60, 1.5, 0, 2.5): Return: 8.15%, Hit Ratio: 60.0%, Max Drawdown: 3.33%
(100, 1.5, -0.5, 2.5): Return: 7.89%, Hit Ratio: 73.68%, Max Drawdown: 4.0%
(100, 1, -0.5, 2.5): Return: 7.86%, Hit Ratio: 72.41%, Max Drawdown: 4.15%
(100, 1.5, -0.5, 3): Return: 7.45%, Hit Ratio: 78.95%, Max Drawdown: 4.02%
(100, 1.5, -0.5, 3.5): Return: 7.45%, Hit Ratio: 78.95%, Max Drawdown: 4.02%
(100, 1, -0.5, 3): Return: 7.41%, Hit Ratio: 75.86%, Max Drawdown: 4.17%
(100, 1, -0.5, 3.5): Return: 7.41%, Hit Ratio: 75.86%, Max Drawdown: 4.17%
(100, 1, 0.5, 3): Return: 7.16%, Hit Ratio: 69.23%, Max Drawdown: 10.02%
(100, 1, 0.5, 3.5): Return: 7.16%, Hit Ratio: 69.23%, Max Drawdown: 10.02%
(60, 2, -0.5, 2.5): Return: 7.14%, Hit Ratio: 71.43%, Max Drawdown: 1.1%
(60, 2, 0, 2.5): Return: 7.14%, Hit Ratio: 71.43%, Max Drawdown: 1.1%
(60, 2, 0.5, 2.5): Return: 7.14%, Hit Ratio: 57.14%, Max Drawdown: 1.1%
(100, 1, 0.5, 2.5): Return: 7.14%, Hit Ratio: 64.1%, Max Drawdown: 10.02%
(100, 2, -0.5, 2.5): Return: 3.3%, Hit Ratio: 80.0%, Max Drawdown: 5.5%
(100, 2, 0, 2.5): Return: 3.29%, Hit Ratio: 80.0%, Max Drawdown: 5.5%
(100, 2, -0.5, 3): Return: 2.85%, Hit Ratio: 71.43%, Max Drawdown: 6.36%
(100, 2, -0.5, 3.5): Return: 2.85%, Hit Ratio: 71.43%, Max Drawdown: 6.36%
(100, 2, 0, 3): Return: 2.85%, Hit Ratio: 71.43%, Max Drawdown: 6.36%
(100, 2, 0, 3.5): Return: 2.85%, Hit Ratio: 71.43%, Max Drawdown: 6.36%
(30, 1, 0.5, 3): Return: 2.06%, Hit Ratio: 64.0%, Max Drawdown: 10.49%
(30, 1, 0.5, 3.5): Return: 2.06%, Hit Ratio: 64.0%, Max Drawdown: 10.49%
(30, 1, 0.5, 2.5): Return: 2.01%, Hit Ratio: 61.54%, Max Drawdown: 10.5%
(100, 2, 0.5, 3): Return: -2.83%, Hit Ratio: 71.43%, Max Drawdown: 5.56%
(100, 2, 0.5, 3.5): Return: -2.83%, Hit Ratio: 71.43%, Max Drawdown: 5.56%
(100, 2, 0.5, 2.5): Return: -2.85%, Hit Ratio: 60.0%, Max Drawdown: 5.56%
