Date,High,Low,Open,Close,Volume,Adj Close
2018-02-07,7.398091111099347e-05,7.369196828221902e-05,7.383343472611159e-05,7.383343472611159e-05,0.0,7.383343472611159e-05
2018-02-08,7.371369429165497e-05,7.30887331883423e-05,7.330840890062973e-05,7.330840890062973e-05,0.0,7.330840890062973e-05
2018-02-09,7.354022818617523e-05,7.31742984498851e-05,7.354022818617523e-05,7.354022818617523e-05,0.0,7.354022818617523e-05
2018-02-12,7.356728019658476e-05,7.327080675167963e-05,7.34699860913679e-05,7.347538485191762e-05,0.0,7.347538485191762e-05
2018-02-13,7.343222387135029e-05,7.323324825847521e-05,7.329766231123358e-05,7.329766231123358e-05,0.0,7.329766231123358e-05
2018-02-14,7.354022818617523e-05,7.310208457056433e-05,7.335680857067928e-05,7.331378583330661e-05,0.0,7.331378583330661e-05
2018-02-15,7.401924813166261e-05,7.341065793298185e-05,7.341065793298185e-05,7.341065793298185e-05,0.0,7.341065793298185e-05
2018-02-16,7.413447747239843e-05,7.376263238256797e-05,7.378984446404502e-05,7.378984446404502e-05,0.0,7.378984446404502e-05
2018-02-19,7.393715350190178e-05,7.372456457233056e-05,7.378984446404502e-05,7.378984446404502e-05,0.0,7.378984446404502e-05
2018-02-20,7.388252561213449e-05,7.335680857067928e-05,7.37789596314542e-05,7.37789596314542e-05,0.0,7.37789596314542e-05
2018-02-21,7.373543485300615e-05,7.344300684053451e-05,7.348618237301707e-05,7.348618237301707e-05,0.0,7.348618237301707e-05
2018-02-22,7.348618237301707e-05,7.296606781892478e-05,7.342144090216607e-05,7.346458733081818e-05,0.0,7.346458733081818e-05
2018-02-23,7.326543709496036e-05,7.306203042389825e-05,7.316359551623464e-05,7.312079833354801e-05,0.0,7.312079833354801e-05
2018-02-26,7.330303196795285e-05,7.297139381989837e-05,7.306737097678706e-05,7.324934267671779e-05,0.0,7.324934267671779e-05
2018-02-27,7.331915549002588e-05,7.298470882233232e-05,7.323324825847521e-05,7.325470505747944e-05,0.0,7.325470505747944e-05
2018-02-28,7.312614616239443e-05,7.264274609042332e-05,7.309407374123111e-05,7.302468293346465e-05,0.0,7.302468293346465e-05
2018-03-01,7.276431279024109e-05,7.242178253363818e-05,7.269026536960155e-05,7.269554771482944e-05,0.0,7.269554771482944e-05
2018-03-02,7.287036714842543e-05,7.253209332702681e-05,7.255841046571732e-05,7.277490658452734e-05,0.0,7.277490658452734e-05
2018-03-05,7.282790465978906e-05,7.258474215632305e-05,7.272198126884177e-05,7.272198126884177e-05,0.0,7.272198126884177e-05
2018-03-06,7.301401637960225e-05,7.255314267240465e-05,7.280139834620059e-05,7.279610144905746e-05,0.0,7.279610144905746e-05
2018-03-07,7.28969243937172e-05,7.258474215632305e-05,7.28969243937172e-05,7.267970067914575e-05,0.0,7.267970067914575e-05
2018-03-08,7.278020348167047e-05,7.23484336049296e-05,7.276960968738422e-05,7.275372627191246e-05,0.0,7.275372627191246e-05
2018-03-09,7.281995203811675e-05,7.239556725835428e-05,7.253735384438187e-05,7.253735384438187e-05,0.0,7.253735384438187e-05
2018-03-12,7.277490658452734e-05,7.259000994963571e-05,7.261109567480162e-05,7.261109567480162e-05,0.0,7.261109567480162e-05
2018-03-13,7.298204582184553e-05,7.26480211596936e-05,7.272198126884177e-05,7.270083733601496e-05,0.0,7.270083733601496e-05
2018-03-14,7.289958011824638e-05,7.267970067914575e-05,7.282260776264593e-05,7.278020348167047e-05,0.0,7.278020348167047e-05
2018-03-15,7.295010436791927e-05,7.260582060553133e-05,7.295010436791927e-05,7.285974425030872e-05,0.0,7.285974425030872e-05
2018-03-16,7.281199941644445e-05,7.262163853738457e-05,7.267970067914575e-05,7.268498302437365e-05,0.0,7.268498302437365e-05
2018-03-19,7.278020348167047e-05,7.259527774294838e-05,7.272727089002728e-05,7.273785013239831e-05,0.0,7.273785013239831e-05
2018-03-20,7.282260776264593e-05,7.257420656969771e-05,7.257420656969771e-05,7.26163707440719e-05,0.0,7.26163707440719e-05
2018-03-21,7.279079727595672e-05,7.26480211596936e-05,7.275902316905558e-05,7.276431279024109e-05,0.0,7.276431279024109e-05
2018-03-22,7.313684182008728e-05,7.255314267240465e-05,7.284382445504889e-05,7.296606781892478e-05,0.0,7.296606781892478e-05
2018-03-23,7.273785013239831e-05,7.241129787871614e-05,7.265329622896388e-05,7.270611968124285e-05,0.0,7.270611968124285e-05
2018-03-25,7.295010436791927e-05,7.246376480907202e-05,7.268498302437365e-05,7.266385364346206e-05,0.0,7.266385364346206e-05
