(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(60, 1, 2, 0.5, -0.5, 3.5, 3.5): Return: 5.29%, Hit Ratio: 73.68%, Max Drawdown: 0.35%
(30, 1, 1.5, 0.5, 0, 3, 3): Return: 5.27%, Hit Ratio: 67.96%, Max Drawdown: 0.33%
(30, 1, 2, 0.5, -0.5, 3, 3): Return: 5.25%, Hit Ratio: 68.69%, Max Drawdown: 0.33%
(30, 1, 1.5, 0.5, 0.5, 3, 3): Return: 5.22%, Hit Ratio: 69.81%, Max Drawdown: 0.33%
(60, 1.5, 2, 0.5, -0.5, 3, 3): Return: 5.21%, Hit Ratio: 69.57%, Max Drawdown: 0.35%
(60, 1.5, 2, 0.5, -0.5, 3.5, 3): Return: 5.21%, Hit Ratio: 69.57%, Max Drawdown: 0.35%
(30, 1, 1.5, 0.5, -0.5, 3, 3.5): Return: 5.18%, Hit Ratio: 68.32%, Max Drawdown: 0.35%
(30, 1, 2, 0.5, 0, 3, 3): Return: 5.17%, Hit Ratio: 69.0%, Max Drawdown: 0.33%
(30, 1, 2, 0.5, 0.5, 3, 3): Return: 5.12%, Hit Ratio: 69.61%, Max Drawdown: 0.33%
(60, 1, 1.5, 0, 0, 3, 2.5): Return: 5.12%, Hit Ratio: 80.46%, Max Drawdown: 0.35%
(60, 1, 1.5, 0, 0, 3.5, 2.5): Return: 5.12%, Hit Ratio: 80.46%, Max Drawdown: 0.35%
(100, 1, 1.5, 0.5, 0, 3.5, 2.5): Return: 5.11%, Hit Ratio: 76.09%, Max Drawdown: 0.43%
(60, 1, 2, 0.5, 0, 3, 3.5): Return: 5.09%, Hit Ratio: 73.96%, Max Drawdown: 0.35%
(60, 1, 2, 0.5, 0, 3.5, 3.5): Return: 5.09%, Hit Ratio: 73.96%, Max Drawdown: 0.35%
(100, 1, 2, 0.5, 0, 3.5, 2.5): Return: 5.09%, Hit Ratio: 75.82%, Max Drawdown: 0.43%
(30, 1, 1.5, 0.5, 0, 3, 3.5): Return: 5.07%, Hit Ratio: 68.63%, Max Drawdown: 0.35%
(60, 1, 1.5, 0, 0, 3, 3): Return: 5.07%, Hit Ratio: 80.46%, Max Drawdown: 0.35%
(60, 1, 1.5, 0, 0, 3.5, 3): Return: 5.07%, Hit Ratio: 80.46%, Max Drawdown: 0.35%
(100, 1, 1.5, 0.5, 0, 3, 2.5): Return: 5.07%, Hit Ratio: 75.82%, Max Drawdown: 0.43%
(60, 1.5, 2, 0.5, -0.5, 3, 2.5): Return: 5.06%, Hit Ratio: 69.57%, Max Drawdown: 0.41%
(60, 1.5, 2, 0.5, -0.5, 3.5, 2.5): Return: 5.06%, Hit Ratio: 69.57%, Max Drawdown: 0.41%
(30, 1, 2, 0.5, -0.5, 3, 3.5): Return: 5.05%, Hit Ratio: 69.39%, Max Drawdown: 0.35%
(100, 1, 2, 0.5, 0, 3, 2.5): Return: 5.04%, Hit Ratio: 75.56%, Max Drawdown: 0.43%
(30, 1, 1.5, 0.5, 0.5, 3, 3.5): Return: 5.02%, Hit Ratio: 70.48%, Max Drawdown: 0.35%
(30, 1, 2, 0.5, 0, 3, 3.5): Return: 4.97%, Hit Ratio: 69.7%, Max Drawdown: 0.35%
(30, 1, 2, 0.5, 0.5, 3, 3.5): Return: 4.92%, Hit Ratio: 70.3%, Max Drawdown: 0.35%
(60, 1, 2, 0.5, 0.5, 3, 3.5): Return: 4.89%, Hit Ratio: 76.04%, Max Drawdown: 0.35%
(60, 1, 2, 0.5, 0.5, 3.5, 3.5): Return: 4.89%, Hit Ratio: 76.04%, Max Drawdown: 0.35%
(100, 1, 1.5, 0.5, 0, 3.5, 3): Return: 4.89%, Hit Ratio: 76.09%, Max Drawdown: 0.43%
(100, 1, 1.5, 0.5, 0, 3.5, 3.5): Return: 4.89%, Hit Ratio: 76.09%, Max Drawdown: 0.43%
(60, 1, 2, 0, -0.5, 3, 3): Return: 4.87%, Hit Ratio: 78.05%, Max Drawdown: 0.73%
(60, 1, 2, 0, -0.5, 3.5, 3): Return: 4.87%, Hit Ratio: 78.05%, Max Drawdown: 0.73%
(100, 1, 2, 0.5, 0, 3.5, 3): Return: 4.86%, Hit Ratio: 75.82%, Max Drawdown: 0.43%
(100, 1, 2, 0.5, 0, 3.5, 3.5): Return: 4.86%, Hit Ratio: 75.82%, Max Drawdown: 0.43%
(100, 1, 1.5, 0.5, 0, 3, 3): Return: 4.85%, Hit Ratio: 75.82%, Max Drawdown: 0.43%
(100, 1, 1.5, 0.5, 0, 3, 3.5): Return: 4.85%, Hit Ratio: 75.82%, Max Drawdown: 0.43%
(30, 1.5, 1.5, 0.5, -0.5, 3, 3): Return: 4.82%, Hit Ratio: 64.06%, Max Drawdown: 0.32%
(100, 1, 2, 0.5, 0, 3, 3): Return: 4.82%, Hit Ratio: 75.56%, Max Drawdown: 0.43%
(100, 1, 2, 0.5, 0, 3, 3.5): Return: 4.82%, Hit Ratio: 75.56%, Max Drawdown: 0.43%
(60, 1.5, 2, 0, 0, 3, 2.5): Return: 4.8%, Hit Ratio: 72.09%, Max Drawdown: 0.5%
(60, 1.5, 2, 0, 0, 3.5, 2.5): Return: 4.8%, Hit Ratio: 72.09%, Max Drawdown: 0.5%
(30, 1, 1, 0.5, -0.5, 3.5, 2.5): Return: 4.78%, Hit Ratio: 69.91%, Max Drawdown: 0.33%
(60, 1.5, 2, 0, 0, 3, 3): Return: 4.75%, Hit Ratio: 69.77%, Max Drawdown: 0.5%
(60, 1.5, 2, 0, 0, 3.5, 3): Return: 4.75%, Hit Ratio: 69.77%, Max Drawdown: 0.5%
(30, 1, 1.5, 0.5, -0.5, 2.5, 3): Return: 4.74%, Hit Ratio: 66.02%, Max Drawdown: 0.34%
(60, 1.5, 2, 0.5, -0.5, 3, 3.5): Return: 4.71%, Hit Ratio: 69.57%, Max Drawdown: 0.35%
(60, 1.5, 2, 0.5, -0.5, 3.5, 3.5): Return: 4.71%, Hit Ratio: 69.57%, Max Drawdown: 0.35%
(30, 1, 1, 0.5, 0, 3.5, 2.5): Return: 4.7%, Hit Ratio: 71.68%, Max Drawdown: 0.33%
(30, 1.5, 1.5, 0.5, 0.5, 3, 3): Return: 4.69%, Hit Ratio: 68.18%, Max Drawdown: 0.32%
(30, 1.5, 1.5, 0.5, 0, 3, 3): Return: 4.67%, Hit Ratio: 63.08%, Max Drawdown: 0.32%
