,date,avg_bid_non_us_before,avg_ask_non_us_before,avg_bid_non_us_at,avg_ask_non_us_at,avg_bid_us_before,avg_ask_us_before,avg_bid_us_at,avg_ask_us_at
66,2016-03-04,113.689,113.693,113.662,113.665,113.675,113.677,113.661,113.664
67,2016-03-07,113.811,113.81700000000001,113.829,113.835,113.54799999999999,113.55,113.541,113.54299999999999
68,2016-03-08,113.506,113.51100000000001,113.493,113.49799999999999,112.831,112.833,112.803,112.805
69,2016-03-09,112.678,112.682,112.65299999999999,112.65799999999999,112.78399999999999,112.786,112.794,112.796
70,2016-03-10,113.234,113.238,113.26,113.264,113.803,113.806,113.73200000000001,113.735
71,2016-03-11,112.835,112.84100000000001,112.82799999999999,112.833,113.58,113.58200000000001,113.62799999999999,113.63
72,2016-03-14,113.77600000000001,113.78,113.802,113.807,113.66799999999999,113.669,113.679,113.681
73,2016-03-15,113.82799999999999,113.83200000000001,113.807,113.809,112.934,112.93700000000001,112.926,112.928
74,2016-03-16,113.111,113.115,113.12899999999999,113.131,113.661,113.663,113.685,113.68799999999999
75,2016-03-17,112.77799999999999,112.78200000000001,112.772,112.775,111.68700000000001,111.689,111.681,111.684
76,2016-03-18,111.353,111.35799999999999,111.44200000000001,111.448,111.52799999999999,111.531,111.53299999999999,111.535
77,2016-03-21,111.43799999999999,111.443,111.478,111.484,111.76,111.764,111.74700000000001,111.75
78,2016-03-22,112.141,112.145,112.12299999999999,112.12700000000001,111.65100000000001,111.654,111.64200000000001,111.64399999999999
79,2016-03-23,112.25200000000001,112.25399999999999,112.259,112.26299999999999,112.794,112.796,112.78399999999999,112.786
80,2016-03-24,112.427,112.431,112.441,112.445,112.45,112.45200000000001,112.471,112.47399999999999
81,2016-03-25,112.853,112.85600000000001,112.84200000000001,112.848,113.09299999999999,113.095,113.094,113.09700000000001
82,2016-03-28,113.46799999999999,113.471,113.463,113.46799999999999,113.271,113.274,113.28,113.28200000000001
83,2016-03-29,113.37100000000001,113.374,113.367,113.37,113.476,113.477,113.476,113.478
84,2016-03-30,112.698,112.70200000000001,112.649,112.65299999999999,112.662,112.664,112.662,112.664
85,2016-03-31,112.381,112.38600000000001,112.354,112.35799999999999,112.209,112.211,112.18299999999999,112.185
86,2016-04-01,112.501,112.50399999999999,112.49600000000001,112.499,112.086,112.088,112.065,112.06700000000001
87,2016-04-04,111.70200000000001,111.705,111.695,111.699,111.37700000000001,111.38,111.355,111.35799999999999
88,2016-04-05,111.25,111.25200000000001,111.255,111.258,110.51100000000001,110.514,110.512,110.514
89,2016-04-06,110.397,110.4,110.395,110.399,110.07600000000001,110.07799999999999,110.068,110.071
90,2016-04-07,109.715,109.71799999999999,109.74,109.742,108.094,108.09700000000001,108.052,108.056
91,2016-04-08,108.473,108.477,108.514,108.51799999999999,108.756,108.759,108.759,108.762
92,2016-04-11,108.311,108.318,108.29299999999999,108.29899999999999,108.335,108.337,108.335,108.337
93,2016-04-12,107.939,107.941,107.941,107.944,108.39200000000001,108.39399999999999,108.412,108.415
94,2016-04-13,108.681,108.68299999999999,108.67299999999999,108.677,109.06700000000001,109.069,109.094,109.096
95,2016-04-14,109.432,109.43299999999999,109.413,109.416,108.971,108.97399999999999,108.98200000000001,108.985
