China CEA_670 Variant1, Return: -2.2%, Hit Ratio: 5.0%, Max Drawdown: 2.24%
China CEA_670 Variant2, Return: -0.61%, Hit Ratio: 42.31%, Max Drawdown: 1.49%
China CEA_670 Variant3a, Return: -1.08%, Hit Ratio: 41.67%, Max Drawdown: 1.86%
China CEA_670 Variant3b, Return: -2.39%, Hit Ratio: 32.43%, Max Drawdown: 2.57%
China HNP_902 Variant1, Return: -1.85%, Hit Ratio: 5.88%, Max Drawdown: 2.11%
China HNP_902 Variant2, Return: -0.77%, Hit Ratio: 38.89%, Max Drawdown: 1.6%
China HNP_902 Variant3a, Return: -1.11%, Hit Ratio: 34.78%, Max Drawdown: 2.0%
China HNP_902 Variant3b, Return: -1.94%, Hit Ratio: 30.3%, Max Drawdown: 2.17%
China LFC_2628 Variant1, Return: -1.49%, Hit Ratio: 15.38%, Max Drawdown: 1.68%
China LFC_2628 Variant2, Return: -0.55%, Hit Ratio: 29.41%, Max Drawdown: 1.58%
China LFC_2628 Variant3a, Return: 0.27%, Hit Ratio: 75.0%, Max Drawdown: 0.22%
China LFC_2628 Variant3b, Return: 0.0%, Hit Ratio: 0%, Max Drawdown: 0%
China PTR_857 Variant1, Return: -0.12%, Hit Ratio: 0.0%, Max Drawdown: 0.15%
China PTR_857 Variant2, Return: -0.52%, Hit Ratio: 50.0%, Max Drawdown: 1.06%
China PTR_857 Variant3a, Return: -0.27%, Hit Ratio: 50.0%, Max Drawdown: 0.46%
China PTR_857 Variant3b, Return: -0.04%, Hit Ratio: 50.0%, Max Drawdown: 0.22%
China SHI_338 Variant1, Return: -2.6%, Hit Ratio: 27.59%, Max Drawdown: 2.78%
China SHI_338 Variant2, Return: -0.04%, Hit Ratio: 60.0%, Max Drawdown: 0.36%
China SHI_338 Variant3a, Return: -1.08%, Hit Ratio: 44.0%, Max Drawdown: 1.98%
China SHI_338 Variant3b, Return: -1.41%, Hit Ratio: 31.58%, Max Drawdown: 1.97%
China SNP_386 Variant1, Return: -0.25%, Hit Ratio: 20.0%, Max Drawdown: 0.44%
China SNP_386 Variant2, Return: -0.48%, Hit Ratio: 42.86%, Max Drawdown: 1.37%
China SNP_386 Variant3a, Return: -0.43%, Hit Ratio: 50.0%, Max Drawdown: 0.81%
China SNP_386 Variant3b, Return: -1.79%, Hit Ratio: 37.5%, Max Drawdown: 2.15%
