(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(100, 2, 1, 0.5, 0, 2.5, 3.5): Return: 10.82%, Hit Ratio: 67.27%, Max Drawdown: 0.7%
(100, 2, 1, 0.5, 0, 3, 3.5): Return: 10.82%, Hit Ratio: 67.27%, Max Drawdown: 0.7%
(100, 2, 1, 0.5, 0, 3.5, 3.5): Return: 10.82%, Hit Ratio: 67.27%, Max Drawdown: 0.7%
(60, 1.5, 1, 0.5, -0.5, 3, 2.5): Return: 10.79%, Hit Ratio: 69.49%, Max Drawdown: 1.24%
(60, 1.5, 1, 0.5, -0.5, 3.5, 2.5): Return: 10.79%, Hit Ratio: 69.49%, Max Drawdown: 1.24%
(100, 2, 1, -0.5, 0, 2.5, 3.5): Return: 10.78%, Hit Ratio: 72.55%, Max Drawdown: 0.64%
(100, 2, 1, -0.5, 0, 3, 3.5): Return: 10.78%, Hit Ratio: 72.55%, Max Drawdown: 0.64%
(100, 2, 1, -0.5, 0, 3.5, 3.5): Return: 10.78%, Hit Ratio: 72.55%, Max Drawdown: 0.64%
(30, 2, 1, -0.5, 0, 2.5, 3.5): Return: 10.72%, Hit Ratio: 77.42%, Max Drawdown: 1.09%
(30, 2, 1, -0.5, -0.5, 2.5, 3.5): Return: 10.7%, Hit Ratio: 76.47%, Max Drawdown: 1.09%
(100, 2, 1, 0.5, -0.5, 2.5, 3.5): Return: 10.62%, Hit Ratio: 66.04%, Max Drawdown: 0.7%
(100, 2, 1, 0.5, -0.5, 3, 3.5): Return: 10.62%, Hit Ratio: 66.04%, Max Drawdown: 0.7%
(100, 2, 1, 0.5, -0.5, 3.5, 3.5): Return: 10.62%, Hit Ratio: 66.04%, Max Drawdown: 0.7%
(60, 2, 1, -0.5, 0, 2.5, 3.5): Return: 10.61%, Hit Ratio: 70.18%, Max Drawdown: 1.1%
(60, 1.5, 1, 0.5, 0, 2.5, 3): Return: 10.6%, Hit Ratio: 67.69%, Max Drawdown: 1.21%
(30, 2, 1, 0, 0, 2.5, 3): Return: 10.59%, Hit Ratio: 74.6%, Max Drawdown: 1.09%
(30, 2, 1, 0, 0, 3, 3.5): Return: 10.59%, Hit Ratio: 74.24%, Max Drawdown: 1.1%
(30, 2, 1, 0, 0, 3.5, 3.5): Return: 10.59%, Hit Ratio: 74.24%, Max Drawdown: 1.1%
(60, 2, 1, -0.5, 0, 3, 3.5): Return: 10.57%, Hit Ratio: 70.18%, Max Drawdown: 1.1%
(60, 2, 1, -0.5, 0, 3.5, 3.5): Return: 10.57%, Hit Ratio: 70.18%, Max Drawdown: 1.1%
(60, 1.5, 1, 0.5, 0, 3, 3): Return: 10.56%, Hit Ratio: 67.69%, Max Drawdown: 1.23%
(60, 1.5, 1, 0.5, 0, 3.5, 3): Return: 10.56%, Hit Ratio: 67.69%, Max Drawdown: 1.23%
(30, 2, 1, 0.5, 0.5, 2.5, 3.5): Return: 10.53%, Hit Ratio: 70.59%, Max Drawdown: 1.09%
(100, 1.5, 1, 0.5, 0, 2.5, 3.5): Return: 10.53%, Hit Ratio: 68.42%, Max Drawdown: 1.13%
(100, 1.5, 1, 0.5, 0, 3, 3.5): Return: 10.53%, Hit Ratio: 68.42%, Max Drawdown: 1.13%
(100, 1.5, 1, 0.5, 0, 3.5, 3.5): Return: 10.53%, Hit Ratio: 68.42%, Max Drawdown: 1.13%
(30, 2, 1, 0.5, -0.5, 3, 2.5): Return: 10.51%, Hit Ratio: 71.93%, Max Drawdown: 1.1%
(30, 2, 1, 0.5, -0.5, 3.5, 2.5): Return: 10.51%, Hit Ratio: 71.93%, Max Drawdown: 1.1%
(60, 2, 1, 0, 0, 2.5, 2.5): Return: 10.51%, Hit Ratio: 71.43%, Max Drawdown: 1.1%
(60, 2, 1, 0, 0, 3, 2.5): Return: 10.47%, Hit Ratio: 71.43%, Max Drawdown: 1.1%
(60, 2, 1, 0, 0, 3.5, 2.5): Return: 10.47%, Hit Ratio: 71.43%, Max Drawdown: 1.1%
(30, 1.5, 1, 0.5, 0, 3, 3): Return: 10.46%, Hit Ratio: 71.23%, Max Drawdown: 1.26%
(30, 1.5, 1, 0.5, 0, 3.5, 3): Return: 10.46%, Hit Ratio: 71.23%, Max Drawdown: 1.26%
(100, 2, 1, 0.5, -0.5, 2.5, 3): Return: 10.38%, Hit Ratio: 67.35%, Max Drawdown: 0.83%
(100, 2, 1, 0.5, -0.5, 3, 3): Return: 10.38%, Hit Ratio: 67.35%, Max Drawdown: 0.83%
(100, 2, 1, 0.5, -0.5, 3.5, 3): Return: 10.38%, Hit Ratio: 67.35%, Max Drawdown: 0.83%
(30, 2, 1, -0.5, 0, 2.5, 3): Return: 10.35%, Hit Ratio: 77.05%, Max Drawdown: 1.09%
(30, 2, 1, -0.5, 0, 3, 3.5): Return: 10.34%, Hit Ratio: 76.56%, Max Drawdown: 1.09%
(30, 2, 1, -0.5, 0, 3.5, 3.5): Return: 10.34%, Hit Ratio: 76.56%, Max Drawdown: 1.09%
(60, 2, 1, -0.5, 0, 2.5, 3): Return: 10.34%, Hit Ratio: 69.64%, Max Drawdown: 1.1%
(100, 2, 1, 0, 0, 2.5, 3.5): Return: 10.34%, Hit Ratio: 66.04%, Max Drawdown: 0.7%
(100, 2, 1, 0, 0, 3, 3.5): Return: 10.34%, Hit Ratio: 66.04%, Max Drawdown: 0.7%
(100, 2, 1, 0, 0, 3.5, 3.5): Return: 10.34%, Hit Ratio: 66.04%, Max Drawdown: 0.7%
(30, 2, 1, -0.5, -0.5, 3, 3.5): Return: 10.33%, Hit Ratio: 75.0%, Max Drawdown: 1.09%
(30, 2, 1, -0.5, -0.5, 3.5, 3.5): Return: 10.33%, Hit Ratio: 75.0%, Max Drawdown: 1.09%
(30, 1.5, 1, 0.5, -0.5, 2.5, 3.5): Return: 10.32%, Hit Ratio: 70.59%, Max Drawdown: 1.71%
(30, 2, 1, -0.5, -0.5, 2.5, 3): Return: 10.32%, Hit Ratio: 76.0%, Max Drawdown: 1.09%
(100, 1.5, 1, 0.5, -0.5, 2.5, 3.5): Return: 10.32%, Hit Ratio: 67.27%, Max Drawdown: 1.13%
(100, 1.5, 1, 0.5, -0.5, 3, 3.5): Return: 10.32%, Hit Ratio: 67.27%, Max Drawdown: 1.13%
(100, 1.5, 1, 0.5, -0.5, 3.5, 3.5): Return: 10.32%, Hit Ratio: 67.27%, Max Drawdown: 1.13%
(60, 2, 1, -0.5, 0, 3, 3): Return: 10.3%, Hit Ratio: 69.64%, Max Drawdown: 1.1%
(60, 2, 1, -0.5, 0, 3.5, 3): Return: 10.3%, Hit Ratio: 69.64%, Max Drawdown: 1.1%
(60, 2, 1, 0, -0.5, 2.5, 3.5): Return: 10.29%, Hit Ratio: 69.64%, Max Drawdown: 1.22%
(30, 1, 1, 0.5, -0.5, 3, 3.5): Return: 10.28%, Hit Ratio: 69.86%, Max Drawdown: 1.26%
(30, 1, 1, 0.5, -0.5, 3.5, 3.5): Return: 10.28%, Hit Ratio: 69.86%, Max Drawdown: 1.26%
(60, 2, 1, 0, -0.5, 3, 3.5): Return: 10.25%, Hit Ratio: 69.64%, Max Drawdown: 1.25%
(60, 2, 1, 0, -0.5, 3.5, 3.5): Return: 10.25%, Hit Ratio: 69.64%, Max Drawdown: 1.25%
(30, 2, 1, 0, 0, 3, 3): Return: 10.21%, Hit Ratio: 73.85%, Max Drawdown: 1.1%
(30, 2, 1, 0, 0, 3.5, 3): Return: 10.21%, Hit Ratio: 73.85%, Max Drawdown: 1.1%
(60, 1.5, 1, 0, -0.5, 2.5, 3.5): Return: 10.21%, Hit Ratio: 68.33%, Max Drawdown: 1.22%
(60, 1.5, 1, 0, -0.5, 3, 3.5): Return: 10.17%, Hit Ratio: 68.33%, Max Drawdown: 1.25%
(60, 1.5, 1, 0, -0.5, 3.5, 3.5): Return: 10.17%, Hit Ratio: 68.33%, Max Drawdown: 1.25%
