,Date,rates_US
28,2017-01-12,0.5
29,2017-01-13,0.5
30,2017-01-14,0.5
31,2017-01-15,0.5
32,2017-01-16,0.5
33,2017-01-17,0.5
34,2017-01-18,0.5
35,2017-01-19,0.5
36,2017-01-20,0.5
37,2017-01-21,0.5
38,2017-01-22,0.5
39,2017-01-23,0.5
40,2017-01-24,0.5
41,2017-01-25,0.5
42,2017-01-26,0.5
43,2017-01-27,0.5
44,2017-01-28,0.5
45,2017-01-29,0.5
46,2017-01-30,0.5
47,2017-01-31,0.5
48,2017-02-01,0.5
49,2017-02-02,0.5
50,2017-02-03,0.5
51,2017-02-04,0.5
52,2017-02-05,0.5
53,2017-02-06,0.5
54,2017-02-07,0.5
55,2017-02-08,0.5
56,2017-02-09,0.5
57,2017-02-10,0.5
58,2017-02-11,0.5
59,2017-02-12,0.5
60,2017-02-13,0.5
61,2017-02-14,0.5
62,2017-02-15,0.5
63,2017-02-16,0.5
64,2017-02-17,0.5
65,2017-02-18,0.5
66,2017-02-19,0.5
67,2017-02-20,0.5
68,2017-02-21,0.5
69,2017-02-22,0.5
70,2017-02-23,0.5
71,2017-02-24,0.5
72,2017-02-25,0.5
73,2017-02-26,0.5
74,2017-02-27,0.5
75,2017-02-28,0.5
76,2017-03-01,0.5
77,2017-03-02,0.5
78,2017-03-03,0.5
79,2017-03-04,0.5
80,2017-03-05,0.5
81,2017-03-06,0.5
82,2017-03-07,0.5
83,2017-03-08,0.5
84,2017-03-09,0.5
85,2017-03-10,0.5
86,2017-03-11,0.5
87,2017-03-12,0.5
88,2017-03-13,0.5
89,2017-03-14,0.5
90,2017-03-15,0.5
0,2017-03-16,0.75
1,2017-03-17,0.75
2,2017-03-18,0.75
3,2017-03-19,0.75
4,2017-03-20,0.75
5,2017-03-21,0.75
6,2017-03-22,0.75
7,2017-03-23,0.75
8,2017-03-24,0.75
9,2017-03-25,0.75
10,2017-03-26,0.75
11,2017-03-27,0.75
12,2017-03-28,0.75
13,2017-03-29,0.75
14,2017-03-30,0.75
15,2017-03-31,0.75
16,2017-04-01,0.75
17,2017-04-02,0.75
18,2017-04-03,0.75
19,2017-04-04,0.75
20,2017-04-05,0.75
21,2017-04-06,0.75
22,2017-04-07,0.75
23,2017-04-08,0.75
24,2017-04-09,0.75
25,2017-04-10,0.75
26,2017-04-11,0.75
27,2017-04-12,0.75
28,2017-04-13,0.75
29,2017-04-14,0.75
30,2017-04-15,0.75
31,2017-04-16,0.75
32,2017-04-17,0.75
33,2017-04-18,0.75
34,2017-04-19,0.75
35,2017-04-20,0.75
36,2017-04-21,0.75
37,2017-04-22,0.75
38,2017-04-23,0.75
39,2017-04-24,0.75
40,2017-04-25,0.75
41,2017-04-26,0.75
42,2017-04-27,0.75
43,2017-04-28,0.75
44,2017-04-29,0.75
45,2017-04-30,0.75
46,2017-05-01,0.75
47,2017-05-02,0.75
48,2017-05-03,0.75
49,2017-05-04,0.75
50,2017-05-05,0.75
51,2017-05-06,0.75
52,2017-05-07,0.75
53,2017-05-08,0.75
54,2017-05-09,0.75
55,2017-05-10,0.75
56,2017-05-11,0.75
57,2017-05-12,0.75
58,2017-05-13,0.75
59,2017-05-14,0.75
60,2017-05-15,0.75
61,2017-05-16,0.75
62,2017-05-17,0.75
63,2017-05-18,0.75
64,2017-05-19,0.75
65,2017-05-20,0.75
66,2017-05-21,0.75
67,2017-05-22,0.75
68,2017-05-23,0.75
69,2017-05-24,0.75
70,2017-05-25,0.75
71,2017-05-26,0.75
72,2017-05-27,0.75
73,2017-05-28,0.75
74,2017-05-29,0.75
75,2017-05-30,0.75
76,2017-05-31,0.75
77,2017-06-01,0.75
78,2017-06-02,0.75
79,2017-06-03,0.75
80,2017-06-04,0.75
81,2017-06-05,0.75
82,2017-06-06,0.75
83,2017-06-07,0.75
84,2017-06-08,0.75
85,2017-06-09,0.75
86,2017-06-10,0.75
87,2017-06-11,0.75
88,2017-06-12,0.75
89,2017-06-13,0.75
90,2017-06-14,0.75
0,2017-06-15,1.0
1,2017-06-16,1.0
2,2017-06-17,1.0
3,2017-06-18,1.0
4,2017-06-19,1.0
5,2017-06-20,1.0
6,2017-06-21,1.0
7,2017-06-22,1.0
8,2017-06-23,1.0
9,2017-06-24,1.0
10,2017-06-25,1.0
11,2017-06-26,1.0
12,2017-06-27,1.0
13,2017-06-28,1.0
14,2017-06-29,1.0
15,2017-06-30,1.0
16,2017-07-01,1.0
17,2017-07-02,1.0
18,2017-07-03,1.0
19,2017-07-04,1.0
20,2017-07-05,1.0
21,2017-07-06,1.0
22,2017-07-07,1.0
23,2017-07-08,1.0
24,2017-07-09,1.0
25,2017-07-10,1.0
26,2017-07-11,1.0
27,2017-07-12,1.0
28,2017-07-13,1.0
29,2017-07-14,1.0
30,2017-07-15,1.0
31,2017-07-16,1.0
32,2017-07-17,1.0
33,2017-07-18,1.0
34,2017-07-19,1.0
35,2017-07-20,1.0
36,2017-07-21,1.0
37,2017-07-22,1.0
38,2017-07-23,1.0
39,2017-07-24,1.0
40,2017-07-25,1.0
41,2017-07-26,1.0
42,2017-07-27,1.0
43,2017-07-28,1.0
44,2017-07-29,1.0
45,2017-07-30,1.0
46,2017-07-31,1.0
47,2017-08-01,1.0
48,2017-08-02,1.0
49,2017-08-03,1.0
50,2017-08-04,1.0
51,2017-08-05,1.0
52,2017-08-06,1.0
53,2017-08-07,1.0
54,2017-08-08,1.0
55,2017-08-09,1.0
56,2017-08-10,1.0
57,2017-08-11,1.0
58,2017-08-12,1.0
59,2017-08-13,1.0
60,2017-08-14,1.0
61,2017-08-15,1.0
62,2017-08-16,1.0
63,2017-08-17,1.0
64,2017-08-18,1.0
65,2017-08-19,1.0
66,2017-08-20,1.0
67,2017-08-21,1.0
68,2017-08-22,1.0
