(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(100, 1, 1, 0, 0.5, 3.5, 2.5): Return: 0.06%, Hit Ratio: 42.28%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0.5, 3.5, 3): Return: 0.06%, Hit Ratio: 42.74%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0.5, 3.5, 3.5): Return: 0.06%, Hit Ratio: 42.74%, Max Drawdown: 0.04%
(100, 1, 1, 0.5, 0, 3, 2.5): Return: 0.06%, Hit Ratio: 42.28%, Max Drawdown: 0.04%
(100, 1, 1, 0.5, 0, 3.5, 2.5): Return: 0.06%, Hit Ratio: 42.74%, Max Drawdown: 0.04%
(100, 1, 1, 0.5, 0.5, 2.5, 2.5): Return: 0.06%, Hit Ratio: 45.97%, Max Drawdown: 0.04%
(100, 1, 1, 0.5, 0.5, 2.5, 3): Return: 0.06%, Hit Ratio: 46.4%, Max Drawdown: 0.04%
(100, 1, 1, 0.5, 0.5, 2.5, 3.5): Return: 0.06%, Hit Ratio: 46.4%, Max Drawdown: 0.04%
(100, 1, 1, 0.5, 0.5, 3, 2.5): Return: 0.06%, Hit Ratio: 44.8%, Max Drawdown: 0.04%
(100, 1, 1, 0.5, 0.5, 3, 3): Return: 0.06%, Hit Ratio: 45.24%, Max Drawdown: 0.04%
(100, 1, 1, 0.5, 0.5, 3, 3.5): Return: 0.06%, Hit Ratio: 45.24%, Max Drawdown: 0.04%
(100, 1, 1, 0.5, 0.5, 3.5, 3): Return: 0.06%, Hit Ratio: 45.67%, Max Drawdown: 0.04%
(100, 1, 1, 0.5, 0.5, 3.5, 3.5): Return: 0.06%, Hit Ratio: 45.67%, Max Drawdown: 0.04%
(100, 1, 1.5, -0.5, -0.5, 2.5, 3): Return: 0.06%, Hit Ratio: 50.96%, Max Drawdown: 0.03%
(100, 1, 1.5, -0.5, -0.5, 2.5, 3.5): Return: 0.06%, Hit Ratio: 50.96%, Max Drawdown: 0.03%
