(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(60, 1, 1.5, 0.5, 0.5, 3.5, 3): Return: 8.61%, Hit Ratio: 77.78%, Max Drawdown: 3.15%
(100, 1, 1.5, 0.5, -0.5, 2.5, 2.5): Return: 8.55%, Hit Ratio: 71.43%, Max Drawdown: 1.3%
(100, 1, 1.5, 0.5, -0.5, 2.5, 3): Return: 8.48%, Hit Ratio: 71.43%, Max Drawdown: 1.3%
(100, 1, 1.5, 0.5, -0.5, 2.5, 3.5): Return: 8.48%, Hit Ratio: 71.43%, Max Drawdown: 1.3%
(60, 1, 2, 0.5, 0, 3, 3): Return: 8.46%, Hit Ratio: 79.66%, Max Drawdown: 3.15%
(60, 1, 2, 0.5, 0, 3.5, 3): Return: 8.46%, Hit Ratio: 79.66%, Max Drawdown: 3.15%
(60, 1, 2, 0.5, 0.5, 3, 3): Return: 8.46%, Hit Ratio: 77.97%, Max Drawdown: 3.15%
(60, 1, 2, 0.5, 0.5, 3.5, 3): Return: 8.46%, Hit Ratio: 77.97%, Max Drawdown: 3.15%
(30, 2, 1.5, -0.5, 0, 3, 2.5): Return: 8.43%, Hit Ratio: 82.86%, Max Drawdown: 1.14%
(30, 2, 1.5, -0.5, 0, 3.5, 2.5): Return: 8.43%, Hit Ratio: 82.86%, Max Drawdown: 1.14%
(30, 2, 1.5, -0.5, 0.5, 3, 2.5): Return: 8.43%, Hit Ratio: 81.08%, Max Drawdown: 1.14%
(30, 2, 1.5, -0.5, 0.5, 3.5, 2.5): Return: 8.43%, Hit Ratio: 81.08%, Max Drawdown: 1.14%
(30, 1.5, 1.5, -0.5, 0, 3, 3): Return: 8.42%, Hit Ratio: 77.78%, Max Drawdown: 1.21%
(30, 1.5, 1.5, -0.5, 0, 3, 3.5): Return: 8.42%, Hit Ratio: 77.78%, Max Drawdown: 1.21%
(30, 1.5, 1.5, -0.5, 0, 3.5, 3): Return: 8.42%, Hit Ratio: 77.78%, Max Drawdown: 1.21%
(30, 1.5, 1.5, -0.5, 0, 3.5, 3.5): Return: 8.42%, Hit Ratio: 77.78%, Max Drawdown: 1.21%
(30, 1.5, 1.5, -0.5, 0.5, 3, 3): Return: 8.42%, Hit Ratio: 76.6%, Max Drawdown: 1.21%
(30, 1.5, 1.5, -0.5, 0.5, 3, 3.5): Return: 8.42%, Hit Ratio: 76.6%, Max Drawdown: 1.21%
(30, 1.5, 1.5, -0.5, 0.5, 3.5, 3): Return: 8.42%, Hit Ratio: 76.6%, Max Drawdown: 1.21%
(30, 1.5, 1.5, -0.5, 0.5, 3.5, 3.5): Return: 8.42%, Hit Ratio: 76.6%, Max Drawdown: 1.21%
(30, 1.5, 2, -0.5, 0, 3, 3): Return: 8.42%, Hit Ratio: 85.71%, Max Drawdown: 1.21%
(30, 1.5, 2, -0.5, 0, 3, 3.5): Return: 8.42%, Hit Ratio: 85.71%, Max Drawdown: 1.21%
(30, 1.5, 2, -0.5, 0, 3.5, 3): Return: 8.42%, Hit Ratio: 85.71%, Max Drawdown: 1.21%
