"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"UBS","UBS Group AG ADRs","Switzerland","VX:UBSG","Six Swiss - Blue Chips Segment","Financials","$61,166,028,011","9.33","1.84","1.03","2.25%","3,398,918","Analyze"
"SAN","Banco Santander SA ADRs","Spain","SM:SAN","Bolsa De Madrid","Financials","$59,304,993,253","6.97","1.42","0.73","4.37%","5,200,329","Analyze"
"TAK","Takeda Pharmaceutical Company Limited ADRs","Japan","JT:4502","Tokyo Stock Exchange","Health Care","$58,767,219,290","35.67","2.01","0.01","2.31%","2,701,158","Analyze"
"PUK","Prudential PLC ADRs","United Kingdom","LN:PRU","London Stock Exchange","Financials","$56,377,408,371","-47.88","1.35","2.70","0.74%","210,232","Analyze"
"IBN","ICICI Bank Ltd ADRs","India","IS:ICICIBANK","National Stock Exchange Of India","Financials","$56,039,215,333","26.93","3.67","0.04","0.14%","5,721,515","Analyze"
"HMC","Honda Motor Co Ltd ADRs","Japan","JT:7267","Tokyo Stock Exchange","Consumer Discretionary","$54,469,652,890","13.77","0.46","0.01","1.73%","820,566","Analyze"
"PBR","Petroleo Brasileiro SA ADRs","Brazil","BS:PETR3","XBSP","Energy","$54,190,165,618","43.99","1.47","0.52","2.22%","33,950,116","Analyze"
"PBR.A","Petroleo Brasileiro-Petrobras ADRs","Brazil","BS:PETR4","XBSP","Energy","$54,190,165,618","44.47","6.23","0.39","1.59%","9,559,936","Analyze"
"BEKE","KE Holdings Inc ADRs of Class A","China","PRIVATE","","Real Estate","$54,121,647,398","0.00","4.26","0.81","0.00%","4,889,193","Analyze"
"PHG","Koninklijke Philips NV ADRs","The Netherlands","NA:PHIA","Nyse Euronext - Euronext Amsterdam","Industrials","$53,023,284,658","38.06","2.30","4.47","1.58%","434,933","Analyze"
"VOD","Vodacom Group Ltd ADRs","United Kingdom","LN:VOD","London Stock Exchange","Communication Services","$52,937,368,241","18.54","0.81","0.91","5.66%","4,106,704","Analyze"
"RELX","RELX PLC ADRs","United Kingdom","LN:REL","London Stock Exchange","Industrials","$49,444,531,021","29.43","3.85","23.56","2.25%","779,034","Analyze"
"SMFG","Sumitomo Mitsui Financial Group Inc ADRs","Japan","JT:8316","Tokyo Stock Exchange","Financials","$49,434,176,016","152.54","1.74","0.00","2.54%","1,533,272","Analyze"
"ING","ING Groep NV ADRs","The Netherlands","NA:INGA","Nyse Euronext - Euronext Amsterdam","Information Technology","$48,042,766,008","16.43","2.42","0.88","1.15%","8,450,118","Analyze"
"E","ENI SpA ADRs","Italy","IM:ENI","Borsa Italiana S.P.A.","Energy","$45,518,171,258","16.08","0.71","1.21","4.87%","345,652","Analyze"
"BCS","Barclays PLC ADRs","United Kingdom","LN:BARC","London Stock Exchange","Financials","$44,177,825,077","21.59","1.56","0.67","0.14%","7,543,035","Analyze"
"NGG","National Grid ADRs","United Kingdom","LN:NG","London Stock Exchange","Utilities","$42,334,480,258","20.71","2.26","2.31","1.14%","417,534","Analyze"
"ABEV","Ambev SA ADRs","Brazil","BS:ABEV3","XBSP","Consumer Staples","$42,012,764,967","21.53","3.91","0.57","0.53%","18,043,240","Analyze"
"LYG","Lloyds Banking Group PLC ADRs","United Kingdom","LN:LLOY","London Stock Exchange","Financials","$41,612,112,578","7.83","1.12","0.85","4.47%","6,080,502","Analyze"
"ERIC","Telefonaktiebolaget LM Ericsson ADRs of Class B","Sweden","SS:ERIC-B","Nasdaq Omx Nordic","Information Technology","$40,156,212,479","23.93","1.46","0.46","1.56%","6,343,945","Analyze"
"BILI","Bilibili Inc. ADRs","China","PRIVATE","","Communication Services","$38,681,163,608","0.00","21.16","4.33","0.00%","7,887,257","Analyze"
"BBD","Banco Bradesco SA ADRs","Brazil","BS:BBDC4","XBSP","Financials","$37,609,701,673","14.48","34,684,637.65","2,621,569.63","2.65%","32,863,547","Analyze"
"BBDO","Banco Bradesco SA ADRs","Brazil","BS:BBDC3","XBSP","Financials","$37,609,701,673","1.44","0.56","0.14","2.71%","25,592","Analyze"
"MFG","Mizuho Financial Group Inc ADRs","Japan","JT:8411","Tokyo Stock Exchange","Financials","$37,073,048,461","10.20","1.68","0.00","2.46%","341,999","Analyze"
"CRH","CRH PLC ADRs","Ireland","ID:CRG","Irish Stock Exchange - All Market","Materials","$36,785,690,221","38.16","1.05","1.87","2.44%","624,224","Analyze"
"LU","Lufax Holding Ltd ADRs","China","PRIVATE","","Financials","$35,906,249,603","23.35","5.02","0.44","0.00%","2,797,695","Analyze"
"STM","STMicroelectronics NV ADRs","Italy","FP:STM","Euronext Paris","Information Technology","$35,857,271,177","32.45","3.37","4.24","0.43%","2,446,974","Analyze"
"WIT","Wipro Ltd ADRs","India","IS:WIPRO","National Stock Exchange Of India","Information Technology","$35,611,951,401","26.97","4.25","0.07","0.21%","1,820,723","Analyze"
"BBVA","Banco Bilbao Vizcaya Argentaria SA ADRs","Spain","SM:BBVA","Bolsa De Madrid","Financials","$35,006,404,545","32.41","1.20","0.79","3.32%","2,922,019","Analyze"
"TME","Tencent Music Entertainment Group  ADRs","China","PRIVATE","","Communication Services","$33,735,254,108","53.34","7.60","0.32","0.00%","64,411,904","Analyze"
"ORAN","Orange SA ADRs","France","FP:ORA","Euronext Paris","Communication Services","$32,856,199,426","6.16","0.52","0.96","5.68%","670,161","Analyze"
