(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(100, 1, 1, 0, 0.5, 2.5, 3.5): Return: 1.44%, Hit Ratio: 63.11%, Max Drawdown: 0.06%
(100, 1, 1, 0, 0.5, 3, 3.5): Return: 1.44%, Hit Ratio: 64.0%, Max Drawdown: 0.06%
(100, 1, 1, 0.5, 0.5, 2.5, 3.5): Return: 1.44%, Hit Ratio: 63.89%, Max Drawdown: 0.06%
(100, 1, 1, 0.5, 0.5, 3, 3.5): Return: 1.44%, Hit Ratio: 64.76%, Max Drawdown: 0.06%
(100, 1.5, 1, -0.5, -0.5, 3.5, 3.5): Return: 1.44%, Hit Ratio: 77.42%, Max Drawdown: 0.37%
(100, 1.5, 1, -0.5, 0, 3.5, 3.5): Return: 1.44%, Hit Ratio: 74.65%, Max Drawdown: 0.37%
(100, 1.5, 1, 0, -0.5, 3.5, 3.5): Return: 1.44%, Hit Ratio: 73.24%, Max Drawdown: 0.37%
(100, 1.5, 1, 0.5, 0, 3.5, 3): Return: 1.44%, Hit Ratio: 69.05%, Max Drawdown: 0.37%
(100, 1.5, 2, -0.5, -0.5, 3.5, 3): Return: 1.44%, Hit Ratio: 75.76%, Max Drawdown: 0.37%
(100, 1.5, 2, -0.5, 0, 3.5, 3): Return: 1.44%, Hit Ratio: 71.43%, Max Drawdown: 0.37%
(100, 1.5, 2, 0, 0, 3.5, 3): Return: 1.44%, Hit Ratio: 72.22%, Max Drawdown: 0.37%
(60, 1, 2, 0, -0.5, 2.5, 3.5): Return: 1.43%, Hit Ratio: 72.37%, Max Drawdown: 0.09%
(60, 1, 2, 0, 0, 2.5, 3.5): Return: 1.43%, Hit Ratio: 71.79%, Max Drawdown: 0.09%
(60, 1.5, 1, 0, 0, 3, 3.5): Return: 1.43%, Hit Ratio: 71.76%, Max Drawdown: 0.37%
(60, 1.5, 1, 0, 0, 3.5, 3.5): Return: 1.43%, Hit Ratio: 72.62%, Max Drawdown: 0.37%
(100, 1.5, 1, 0, 0, 3.5, 3.5): Return: 1.43%, Hit Ratio: 72.6%, Max Drawdown: 0.37%
(100, 1.5, 1, 0.5, -0.5, 3.5, 3): Return: 1.43%, Hit Ratio: 68.67%, Max Drawdown: 0.37%
(100, 1.5, 1, 0.5, 0, 3.5, 3.5): Return: 1.43%, Hit Ratio: 70.73%, Max Drawdown: 0.37%
(60, 1.5, 1, 0, -0.5, 3, 3.5): Return: 1.42%, Hit Ratio: 72.5%, Max Drawdown: 0.37%
(60, 1.5, 1, 0, -0.5, 3.5, 3.5): Return: 1.42%, Hit Ratio: 73.42%, Max Drawdown: 0.37%
(60, 1.5, 2, -0.5, -0.5, 2.5, 3.5): Return: 1.42%, Hit Ratio: 62.86%, Max Drawdown: 0.09%
(60, 1.5, 2, -0.5, 0, 2.5, 3.5): Return: 1.42%, Hit Ratio: 67.57%, Max Drawdown: 0.09%
(100, 1.5, 1.5, 0.5, 0, 3.5, 3): Return: 1.42%, Hit Ratio: 71.15%, Max Drawdown: 0.37%
(60, 1, 2, 0.5, -0.5, 2.5, 3.5): Return: 1.41%, Hit Ratio: 69.14%, Max Drawdown: 0.1%
(60, 1, 2, 0.5, 0, 2.5, 3.5): Return: 1.41%, Hit Ratio: 69.88%, Max Drawdown: 0.1%
(100, 1, 1, 0, -0.5, 3.5, 3.5): Return: 1.41%, Hit Ratio: 73.17%, Max Drawdown: 0.37%
(100, 1.5, 1, 0.5, -0.5, 3.5, 3.5): Return: 1.41%, Hit Ratio: 70.37%, Max Drawdown: 0.37%
(60, 1.5, 1.5, 0, -0.5, 2.5, 3.5): Return: 1.4%, Hit Ratio: 69.81%, Max Drawdown: 0.09%
(60, 1.5, 1.5, 0, 0, 2.5, 3.5): Return: 1.4%, Hit Ratio: 72.22%, Max Drawdown: 0.09%
(100, 1, 1, -0.5, 0, 3.5, 3.5): Return: 1.4%, Hit Ratio: 73.17%, Max Drawdown: 0.37%
(100, 1, 1, 0, 0, 3.5, 3.5): Return: 1.4%, Hit Ratio: 72.62%, Max Drawdown: 0.37%
(100, 1, 1, 0.5, 0, 3.5, 3.5): Return: 1.4%, Hit Ratio: 67.37%, Max Drawdown: 0.37%
