(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 1.5, 1.5, 0, -0.5, 3.5, 3.5): Return: 0.03%, Hit Ratio: 53.49%, Max Drawdown: 0.04%
(30, 1.5, 1.5, 0.5, -0.5, 3, 2.5): Return: 0.03%, Hit Ratio: 51.19%, Max Drawdown: 0.03%
(30, 1.5, 1.5, 0.5, -0.5, 3, 3): Return: 0.03%, Hit Ratio: 51.19%, Max Drawdown: 0.03%
(30, 1.5, 1.5, 0.5, -0.5, 3, 3.5): Return: 0.03%, Hit Ratio: 51.19%, Max Drawdown: 0.03%
(30, 1.5, 1.5, 0.5, -0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 50.56%, Max Drawdown: 0.03%
(30, 1.5, 1.5, 0.5, -0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 50.56%, Max Drawdown: 0.03%
(30, 1.5, 1.5, 0.5, -0.5, 3.5, 3.5): Return: 0.03%, Hit Ratio: 50.56%, Max Drawdown: 0.03%
(30, 1.5, 2, -0.5, -0.5, 3, 2.5): Return: 0.03%, Hit Ratio: 51.35%, Max Drawdown: 0.04%
(30, 1.5, 2, -0.5, -0.5, 3, 3): Return: 0.03%, Hit Ratio: 51.35%, Max Drawdown: 0.04%
(30, 1.5, 2, -0.5, -0.5, 3, 3.5): Return: 0.03%, Hit Ratio: 51.35%, Max Drawdown: 0.04%
(30, 1.5, 2, -0.5, -0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 53.25%, Max Drawdown: 0.04%
(30, 1.5, 2, -0.5, -0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 53.25%, Max Drawdown: 0.04%
(30, 1.5, 2, -0.5, -0.5, 3.5, 3.5): Return: 0.03%, Hit Ratio: 53.25%, Max Drawdown: 0.04%
(30, 2, 2, -0.5, -0.5, 3, 2.5): Return: 0.03%, Hit Ratio: 57.5%, Max Drawdown: 0.02%
(30, 2, 2, -0.5, -0.5, 3, 3): Return: 0.03%, Hit Ratio: 57.5%, Max Drawdown: 0.02%
(30, 2, 2, -0.5, -0.5, 3, 3.5): Return: 0.03%, Hit Ratio: 57.5%, Max Drawdown: 0.02%
(30, 2, 2, -0.5, 0.5, 3, 2.5): Return: 0.03%, Hit Ratio: 58.54%, Max Drawdown: 0.01%
(30, 2, 2, -0.5, 0.5, 3, 3): Return: 0.03%, Hit Ratio: 58.54%, Max Drawdown: 0.01%
(30, 2, 2, -0.5, 0.5, 3, 3.5): Return: 0.03%, Hit Ratio: 58.54%, Max Drawdown: 0.01%
(30, 2, 2, -0.5, 0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 57.45%, Max Drawdown: 0.01%
(30, 2, 2, -0.5, 0.5, 3.5, 3): Return: 0.03%, Hit Ratio: 57.45%, Max Drawdown: 0.01%
(30, 2, 2, -0.5, 0.5, 3.5, 3.5): Return: 0.03%, Hit Ratio: 57.45%, Max Drawdown: 0.01%
(30, 2, 2, 0, -0.5, 3, 2.5): Return: 0.03%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(30, 2, 2, 0, -0.5, 3, 3): Return: 0.03%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(30, 2, 2, 0, -0.5, 3, 3.5): Return: 0.03%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(60, 1, 1, -0.5, 0, 3.5, 2.5): Return: 0.03%, Hit Ratio: 54.48%, Max Drawdown: 0.04%
(60, 1, 1, -0.5, 0, 3.5, 3): Return: 0.03%, Hit Ratio: 54.48%, Max Drawdown: 0.04%
(60, 1, 1, -0.5, 0, 3.5, 3.5): Return: 0.03%, Hit Ratio: 54.48%, Max Drawdown: 0.04%
(60, 1, 1.5, -0.5, -0.5, 3.5, 2.5): Return: 0.03%, Hit Ratio: 52.31%, Max Drawdown: 0.05%
